id,Company,Nombre_Producto,Tipo_Portatil,S.O,Marca_Procesador,Modelo_Procesador,Velocidad_Procesador_GHz,Ram_GB,Total_Almacenamiento,Marca_GPU,Modelo_GPU,Tipo_GPU,Categoria_Peso,Pantalla,Touchscreen,Inches,Touchscreen,Price_euros
36,toshiba,satellite,notebook,windows 10,intel,pentium dual core,2.1,4,512.0,intel,510,graphics,medio,wxga,no,14.0,no,499.0
971,dell,latitude,ultrabook,windows 10,intel,core i5,1.6,8,1024.0,intel,620,uhd graphics,medio,fhd,no,15.6,no,1096.16
938,lenovo,yoga,convertible,windows 10,intel,core i3,2.4,4,1024.0,intel,620,graphics,medio,fhd,yes,14.0,yes,629.0
718,acer,aspire,notebook,windows 10,intel,core i5,2.5,6,2048.0,intel,620,graphics,medio,wxga,no,15.6,no,549.0
518,lenovo,thinkpad,notebook,windows 10,intel,xeon e3-1535m,3.1,32,4096.0,nvidia,m2200m,quadro,medio,4k,no,15.6,no,4899.0
1126,acer,aspire,notebook,windows 10,intel,core i5,1.6,8,1024.0,nvidia,mx150,geforce,pesado,fhd,no,17.3,no,854.0
51,lenovo,yoga,convertible,windows 10,intel,atom x5,1.44,4,64.0,intel,400,graphics,ligero,ips,yes,10.1,yes,646.27
772,hp,otro,notebook,windows 10,amd,a10-series,2.5,6,4096.0,amd,530,radeon,pesado,fhd,no,17.3,no,655.01
1001,hp,elitebook,netbook,windows 10,intel,core i5,2.6,8,1024.0,intel,620,graphics,ligero,wxga,no,12.5,no,1389.0
330,hp,omen,gaming,windows 10,intel,core i7,2.8,16,3072.0,nvidia,gtx 1050,geforce,pesado,fhd,no,17.3,no,1379.0
66,dell,precision,workstation,windows 10,intel,core i7,2.8,8,1024.0,nvidia,m1200,quadro,medio,4k,yes,15.6,yes,2712.0
829,asus,otro,notebook,linux,intel,core i3,2.0,4,2048.0,intel,620,graphics,medio,fhd,no,15.6,no,389.0
1129,acer,extensa,notebook,windows 10,intel,core i5,2.5,4,1000.0,intel,620,graphics,medio,wxga,no,15.6,no,559.0
1197,lenovo,ideapad,notebook,windows 10,intel,core i5,2.5,6,1024.0,nvidia,920mx,geforce,medio,fhd,no,15.6,no,695.0
171,lenovo,ideapad,notebook,windows 10,intel,celeron dual core,1.1,4,2048.0,intel,500,graphics,medio,wxga,no,15.6,no,306.0
233,hp,probook,notebook,windows 10,intel,core i5,2.5,8,1024.0,intel,620,graphics,medio,fhd,no,14.0,no,980.0
205,dell,inspiron,notebook,windows 10,intel,core i5,1.6,8,1024.0,amd,520,radeon,medio,fhd,no,15.6,no,728.0
361,asus,otro,gaming,windows 10,intel,core i7,2.8,8,2560.0,nvidia,gtx 1050 ti,geforce,medio,fhd,no,15.6,no,1265.0
1250,lenovo,otro,notebook,windows 7,intel,core i7,2.5,8,3072.0,amd,r5 m330,radeon,medio,fhd,no,15.6,no,895.0
707,dell,vostro,notebook,windows 10,intel,core i3,2.0,4,2048.0,amd,r5 m420x,radeon,medio,wxga,no,15.6,no,614.0
884,acer,chromebook,notebook,chrome os,intel,celeron dual core,1.5,4,16.0,intel,otro,graphics,medio,fhd,no,15.6,no,359.0
1071,lenovo,ideapad,notebook,windows 10,amd,a12-series,3.6,6,1024.0,amd,530,radeon,medio,fhd,no,15.6,no,597.57
95,dell,inspiron,notebook,windows 10,intel,pentium quad core,1.6,4,1000.0,intel,otro,graphics,medio,wxga,no,15.6,no,369.0
745,asus,otro,notebook,windows 10,intel,celeron dual core,1.6,4,1000.0,intel,otro,graphics,medio,wxga,no,15.6,no,369.0
899,acer,aspire,notebook,linux,intel,core i3,2.7,4,2048.0,intel,620,graphics,medio,wxga,no,15.6,no,367.0
313,asus,vivobook,ultrabook,windows 10,intel,core i7,2.7,8,1024.0,nvidia,940mx,geforce,medio,fhd,no,15.6,no,1049.9
1063,msi,gl62m,gaming,windows 10,intel,core i5,2.5,8,2560.0,nvidia,gtx 1050,geforce,medio,fhd,no,15.6,no,1119.91
193,dell,inspiron,convertible,windows 10,intel,core i5,2.7,8,1024.0,intel,620,graphics,medio,fhd,yes,15.6,yes,1094.0
625,hp,otro,ultrabook,windows 10,intel,core i7,1.8,8,1024.0,intel,620,graphics,medio,fhd,no,15.6,no,659.0
142,hp,probook,notebook,windows 10,intel,core i7,2.9,8,1024.0,intel,630,graphics,medio,fhd,no,15.6,no,1427.0
243,hp,chromebook,convertible,chrome os,intel,celeron dual core,1.1,8,64.0,intel,500,graphics,ligero,wxga,yes,11.6,yes,495.0
1214,hp,elitebook,notebook,windows 10,intel,core i5,2.6,8,1024.0,intel,620,graphics,ligero,fhd,no,14.0,no,1268.0
1047,dell,inspiron,notebook,windows 10,intel,core i3,2.0,4,2048.0,intel,520,graphics,medio,wxga,no,15.6,no,418.64
648,lenovo,ideapad,notebook,no os,intel,core i3,2.0,4,2048.0,amd,r5 m430,radeon,medio,fhd,no,15.6,no,479.0
34,apple,macbook,ultrabook,mac os x,intel,core i7,2.2,16,256.0,intel,pro graphics,iris,medio,ips,no,15.4,no,2139.97
804,hp,elitebook,notebook,windows 7,intel,core i5,2.3,4,1000.0,intel,520,graphics,medio,fhd,no,14.0,no,1030.99
872,hp,250,notebook,windows 10,intel,core i3,2.0,4,1000.0,intel,520,graphics,medio,fhd,no,15.6,no,397.0
1297,hp,elitebook,notebook,windows 7,intel,core i5,2.3,8,1024.0,intel,520,graphics,medio,fhd,no,15.6,no,1579.0
192,dell,vostro,notebook,linux,intel,core i5,2.5,8,2048.0,intel,620,graphics,medio,fhd,no,15.6,no,726.0
451,hp,otro,notebook,windows 10,intel,celeron dual core,1.6,4,1000.0,intel,400,graphics,medio,wxga,no,15.6,no,347.0
894,fujitsu,lifebook,notebook,windows 10,intel,core i5,2.3,4,1024.0,intel,520,graphics,medio,wxga,no,15.6,no,649.0
961,toshiba,tecra,ultrabook,windows 10,intel,core i7,2.6,8,1024.0,intel,520,graphics,ligero,fhd,no,14.0,no,1725.0
1168,lenovo,thinkpad,ultrabook,windows 10,intel,core i5,2.3,4,720.0,intel,520,graphics,medio,fhd,no,14.0,no,1096.0
966,lenovo,thinkpad,notebook,windows 10,intel,core i7,2.6,8,1024.0,intel,520,graphics,medio,fhd,no,15.6,no,1529.0
794,mediacom,smartbook,notebook,windows 10,intel,atom x5,1.44,2,32.0,intel,otro,graphics,ligero,fhd,no,14.0,no,239.0
763,lenovo,thinkpad,workstation,windows 10,intel,core i7,2.8,8,2048.0,nvidia,m1200,quadro,pesado,fhd,no,15.6,no,1925.0
946,lenovo,ideapad,notebook,windows 10,intel,core i3,2.0,4,2048.0,intel,520,graphics,medio,fhd,no,15.6,no,414.9
1298,acer,aspire,notebook,windows 10,intel,core i3,2.0,4,1000.0,nvidia,gtx 940mx,geforce,medio,wxga,no,15.6,no,469.0
715,asus,otro,notebook,windows 10,intel,celeron dual core,1.1,4,32.0,intel,500,graphics,medio,wxga,no,14.0,no,278.0
762,dell,xps,ultrabook,windows 10,intel,core i7,1.8,8,1024.0,intel,620,uhd graphics,ligero,fhd,no,13.3,no,1449.0
1101,msi,otro,gaming,windows 10,intel,core i5,2.5,8,2560.0,nvidia,gtx 1050,geforce,medio,fhd,no,15.6,no,1089.0
994,hp,elitebook,netbook,windows 10,intel,core m 6y75,1.2,8,2048.0,intel,515,graphics,ligero,fhd,no,12.5,no,1908.0
528,dell,latitude,ultrabook,linux,intel,core i7,2.8,8,1024.0,intel,620,graphics,medio,fhd,no,14.0,no,1099.0
926,lenovo,ideapad,notebook,no os,intel,core i7,2.5,8,1000.0,nvidia,920mx,geforce,medio,wxga,no,15.6,no,629.0
791,hp,250,notebook,no os,intel,core i3,2.0,4,2048.0,intel,520,graphics,medio,wxga,no,15.6,no,345.99
351,acer,chromebook,notebook,chrome os,intel,celeron dual core,1.6,4,32.0,intel,400,graphics,medio,wxga,no,14.0,no,349.0
166,dell,latitude,notebook,windows 7,intel,core i5,2.4,8,1024.0,intel,520,graphics,medio,fhd,no,15.6,no,1062.95
1196,acer,aspire,notebook,windows 10,intel,celeron dual core,1.1,4,2048.0,intel,500,graphics,medio,wxga,no,15.6,no,348.0
1056,dell,inspiron,notebook,windows 10,intel,core i5,1.6,8,2560.0,amd,530,radeon,medio,fhd,no,15.6,no,844.0
909,razer,blade,gaming,windows 10,intel,core i7,2.9,32,4096.0,nvidia,gtx 1080,geforce,pesado,4k,yes,17.3,yes,6099.0
1189,lenovo,ideapad,notebook,windows 10,amd,e-series,2.2,4,512.0,amd,r2 graphics,radeon,medio,wxga,no,15.6,no,349.0
654,msi,gt72vr,gaming,windows 10,intel,core i7,2.8,16,3072.0,nvidia,gtx 1070,geforce,pesado,fhd,no,17.3,no,2499.0
968,lenovo,ideapad,notebook,windows 10,intel,core i5,2.3,4,1000.0,intel,520,graphics,medio,fhd,no,15.6,no,535.0
1027,hp,elitebook,ultrabook,windows 7,intel,core i7,2.5,8,1024.0,intel,520,graphics,ligero,fhd,no,12.5,no,2296.95
217,lenovo,otro,netbook,windows 10,intel,celeron dual core,1.6,4,512.0,intel,400,graphics,ligero,wxga,yes,11.6,yes,475.0
1224,lenovo,thinkpad,ultrabook,windows 10,intel,core i7,2.7,8,1024.0,intel,620,graphics,ligero,fhd,no,12.5,no,1584.0
559,dell,inspiron,notebook,windows 10,intel,core i7,1.8,16,2048.0,nvidia,150mx,geforce,pesado,fhd,yes,17.3,yes,1549.0
136,dell,xps,ultrabook,windows 10,intel,core i5,2.5,8,512.0,intel,620,graphics,ligero,fhd,yes,13.3,yes,899.0
420,dell,inspiron,convertible,windows 10,intel,core i7,1.8,8,2048.0,intel,620,uhd graphics,medio,fhd,yes,13.3,yes,839.0
54,toshiba,portege,ultrabook,windows 10,intel,core i7,2.7,32,2048.0,intel,620,graphics,ligero,fhd,yes,13.3,yes,2799.0
788,acer,aspire,notebook,windows 10,amd,a9-series,3.0,4,1024.0,amd,r5,radeon,medio,wxga,no,15.6,no,451.0
628,hp,otro,notebook,windows 10,intel,core i5,2.5,8,2560.0,nvidia,gtx 1050,geforce,medio,fhd,no,15.6,no,1099.0
1215,lenovo,otro,notebook,windows 10,intel,core i7,1.8,8,1024.0,intel,620,uhd graphics,medio,fhd,no,15.6,no,880.0
396,lenovo,otro,notebook,no os,intel,core i3,2.0,4,2048.0,intel,520,graphics,medio,wxga,no,15.6,no,339.0
1083,asus,otro,notebook,windows 10,intel,celeron dual core,1.6,4,1000.0,intel,otro,graphics,medio,wxga,no,15.6,no,369.0
20,hp,elitebook,convertible,windows 10,intel,core i5,2.5,8,1024.0,intel,620,graphics,ligero,fhd,yes,13.3,yes,2277.0
1263,hp,probook,notebook,windows 10,intel,core i7,1.8,16,2048.0,intel,620,uhd graphics,ligero,fhd,no,13.3,no,1197.0
258,dell,inspiron,gaming,linux,intel,core i7,2.8,8,2048.0,nvidia,gtx 1050ti,geforce,pesado,fhd,no,15.6,no,929.0
159,dell,vostro,notebook,windows 10,intel,core i3,2.0,4,2048.0,intel,520,graphics,medio,wxga,no,15.6,no,558.6
572,lenovo,ideapad,gaming,windows 10,amd,fx 8800,2.1,16,4096.0,amd,r9 m385,radeon,medio,fhd,no,15.6,no,999.0
374,toshiba,satellite,notebook,windows 10,intel,core i5,2.5,8,1000.0,intel,620,graphics,medio,fhd,no,15.6,no,860.0
25,hp,elitebook,ultrabook,windows 7,intel,core i5,2.4,8,1024.0,intel,520,graphics,ligero,wxga,no,12.5,no,1895.0
345,lenovo,legion,gaming,windows 10,intel,core i7,2.8,4,2048.0,nvidia,gtx 1050,geforce,medio,fhd,no,15.6,no,999.0
827,dell,latitude,netbook,windows 10,intel,pentium quad core,1.1,4,512.0,intel,505,graphics,medio,wxga,no,11.6,no,744.0
661,hp,probook,notebook,windows 10,intel,core i5,2.5,8,1024.0,nvidia,930mx,geforce,medio,fhd,no,15.6,no,889.0
102,lenovo,thinkpad,convertible,windows 10,intel,core i7,2.7,8,2048.0,intel,620,graphics,ligero,fhd,yes,13.3,yes,2025.0
185,asus,rog,gaming,windows 10,intel,core i5,2.5,8,2560.0,nvidia,gtx 1060,geforce,pesado,fhd,no,17.3,no,1770.0
69,asus,otro,notebook,windows 10,intel,core i5,2.5,8,2024.0,nvidia,gtx 950m,geforce,pesado,fhd,no,17.3,no,891.0
327,msi,ge63vr,gaming,windows 10,intel,core i7,2.8,16,3072.0,nvidia,gtx 1060,geforce,medio,fhd,no,15.6,no,1799.0
439,acer,chromebook,netbook,chrome os,intel,celeron dual core,1.6,4,32.0,intel,400,graphics,ligero,wxga,no,11.6,no,297.0
662,msi,gt73evr,gaming,windows 10,intel,core i7,2.8,16,4096.0,nvidia,gtx 1070,geforce,pesado,fhd,no,17.3,no,2499.0
799,asus,otro,notebook,windows 10,amd,a10-series,2.5,4,2560.0,amd,r5 m430,radeon,medio,fhd,no,15.6,no,575.0
555,hp,probook,notebook,windows 10,intel,core i5,1.6,4,1000.0,intel,620,graphics,medio,fhd,no,15.6,no,722.0
40,toshiba,tecra,notebook,windows 10,intel,core i5,2.3,4,512.0,intel,520,graphics,medio,wxga,no,14.0,no,1020.0
1110,lenovo,yoga,convertible,windows 10,intel,core i7,2.5,16,2048.0,intel,520,graphics,ligero,ips,yes,13.3,yes,1499.0
998,hp,elitebook,ultrabook,windows 10,intel,core i7,2.7,8,1024.0,intel,620,graphics,ligero,fhd,no,14.0,no,1750.0
500,msi,ge72,gaming,windows 10,intel,core i7,2.6,8,2560.0,nvidia,gtx 960m,geforce,pesado,fhd,no,17.3,no,1511.19
734,dell,xps,ultrabook,windows 10,intel,core i5,1.6,8,1024.0,intel,620,uhd graphics,ligero,ips,yes,13.3,yes,1869.0
974,lenovo,thinkpad,notebook,windows 10,intel,core i5,2.5,8,720.0,intel,620,graphics,medio,fhd,no,14.0,no,1364.0
117,hp,elitebook,convertible,windows 10,intel,core i5,2.5,4,1024.0,intel,620,graphics,ligero,fhd,yes,13.3,yes,1799.0
392,hp,probook,notebook,windows 10,intel,core i3,2.4,4,1024.0,intel,620,graphics,medio,wxga,no,15.6,no,769.99
1060,dell,inspiron,notebook,windows 10,intel,core i7,1.8,16,5120.0,amd,530,radeon,medio,fhd,no,15.6,no,1219.24
613,asus,pro,notebook,windows 10,intel,core i5,2.5,8,1024.0,intel,620,graphics,medio,fhd,no,15.6,no,1099.0
711,hp,probook,notebook,windows 10,intel,core i7,1.8,8,2048.0,intel,620,uhd graphics,medio,fhd,no,14.0,no,1084.0
1245,dell,vostro,notebook,windows 10,intel,core i3,2.4,4,512.0,intel,620,graphics,medio,wxga,no,15.6,no,547.0
639,asus,zenbook,ultrabook,windows 10,intel,core i7,2.7,8,2048.0,intel,620,graphics,ligero,fhd,no,14.0,no,1873.0
9,acer,aspire,notebook,windows 10,intel,core i5,1.6,4,1024.0,nvidia,mx150,geforce,pesado,fhd,no,17.3,no,805.0
1213,lenovo,otro,notebook,no os,intel,core i3,2.0,4,1000.0,intel,520,graphics,medio,wxga,no,15.6,no,450.0
535,dell,inspiron,gaming,windows 10,intel,core i7,2.8,8,2560.0,nvidia,gtx 1050 ti,geforce,pesado,fhd,no,15.6,no,1159.0
155,dell,xps,ultrabook,linux,intel,core i5,2.4,8,1024.0,intel,520,graphics,ligero,ips,yes,13.3,yes,1099.0
1074,hp,probook,notebook,windows 10,intel,core i7,2.7,8,2048.0,nvidia,930mx,geforce,pesado,fhd,no,17.3,no,1280.0
472,dell,inspiron,convertible,windows 10,intel,core m 7y30,1.0,4,512.0,intel,615,graphics,ligero,wxga,yes,11.6,yes,603.0
47,lenovo,otro,notebook,no os,intel,core i3,2.0,4,1000.0,intel,520,graphics,pesado,fhd,no,17.3,no,529.0
5,hp,probook,notebook,windows 10,intel,core i5,1.6,8,1024.0,intel,620,uhd graphics,medio,fhd,no,17.3,no,928.0
466,asus,vivobook,notebook,windows 10,intel,core i3,2.4,4,2048.0,intel,620,graphics,medio,wxga,no,15.6,no,435.0
712,hp,probook,notebook,windows 10,intel,core i5,1.6,8,2048.0,intel,620,uhd graphics,medio,fhd,no,14.0,no,812.0
212,acer,swift,notebook,windows 10,intel,core i3,2.4,8,512.0,intel,620,graphics,medio,fhd,no,14.0,no,619.0
1067,hp,250,notebook,no os,intel,core i5,2.5,8,1024.0,intel,620,graphics,medio,fhd,no,15.6,no,575.0
785,hp,otro,notebook,windows 10,intel,pentium quad core,1.6,8,4096.0,intel,405,graphics,medio,wxga,no,15.6,no,389.0
332,dell,latitude,notebook,windows 10,intel,core i5,2.5,8,512.0,intel,620,graphics,medio,wxga,no,15.6,no,810.0
1199,msi,gt62vr,gaming,windows 10,intel,core i7,2.8,16,3072.0,nvidia,gtx 1070,geforce,pesado,fhd,no,15.6,no,2267.86
412,dell,xps,notebook,windows 10,intel,core i7,2.8,8,1024.0,nvidia,gtx 1050,geforce,medio,fhd,no,15.6,no,1829.0
200,hp,elitebook,ultrabook,windows 10,intel,core i7,2.5,8,1024.0,intel,520,graphics,ligero,fhd,no,14.0,no,1500.0
509,toshiba,satellite,notebook,windows 10,intel,core i5,2.5,8,1024.0,intel,620,graphics,medio,fhd,no,15.6,no,943.0
411,msi,gl62m,gaming,windows 10,intel,core i7,2.8,8,2560.0,nvidia,gtx 1050,geforce,medio,fhd,no,15.6,no,1149.0
627,lenovo,thinkpad,convertible,windows 10,intel,core i7,2.7,8,1024.0,intel,620,graphics,ligero,fhd,yes,13.3,yes,1950.0
1088,lenovo,ideapad,notebook,windows 10,amd,a12-series,3.6,12,4096.0,amd,530,radeon,medio,fhd,no,15.6,no,899.0
881,dell,latitude,notebook,windows 10,intel,core i5,2.3,4,1000.0,intel,520,graphics,medio,wxga,no,15.6,no,729.9
914,dell,xps,convertible,windows 10,intel,core i7,1.3,16,2048.0,intel,615,graphics,ligero,ips,yes,13.3,yes,1899.0
690,toshiba,satellite,notebook,windows 10,intel,core i5,2.5,8,512.0,intel,620,graphics,medio,wxga,no,15.6,no,793.0
111,hp,zbook,notebook,windows 10,intel,core i5,2.5,8,1000.0,amd,w4190m,firepro,medio,fhd,no,15.6,no,1154.0
26,hp,probook,notebook,windows 10,intel,core i5,2.7,8,2560.0,nvidia,930mx,geforce,medio,fhd,no,15.6,no,979.0
375,dell,alienware,gaming,windows 10,intel,core i7,2.8,16,3072.0,nvidia,gtx 1070,geforce,pesado,fhd,no,17.3,no,2699.0
289,hp,pavilion,notebook,windows 10,intel,core i7,2.8,12,2560.0,nvidia,gtx 1050,geforce,medio,fhd,no,15.6,no,1327.0
1007,hp,envy,notebook,windows 10,intel,core i5,2.5,4,1024.0,intel,620,graphics,ligero,fhd,no,13.3,no,699.0
476,lenovo,yoga,convertible,windows 10,intel,atom x5,1.44,4,64.0,intel,400,graphics,ligero,ips,yes,10.1,yes,479.0
475,asus,otro,notebook,windows 10,intel,core i5,1.6,8,1024.0,intel,620,uhd graphics,ligero,fhd,no,14.0,no,941.0
125,acer,aspire,notebook,linux,intel,core i7,2.8,8,1024.0,nvidia,gtx 1050,geforce,medio,fhd,no,15.6,no,879.0
1154,hp,elitebook,ultrabook,windows 10,intel,core i7,2.5,8,2048.0,intel,520,graphics,medio,fhd,no,14.0,no,1468.0
1184,hp,zbook,workstation,windows 10,intel,core i7,2.8,8,1024.0,nvidia,m1200,quadro,pesado,fhd,no,15.6,no,1738.27
322,fujitsu,lifebook,notebook,windows 10,intel,core i5,2.5,8,2048.0,intel,620,graphics,medio,wxga,no,15.6,no,739.0
280,samsung,notebook,ultrabook,windows 10,intel,core i7,2.7,16,1024.0,nvidia,940mx,geforce,ligero,fhd,no,15.0,no,1849.0
63,lenovo,ideapad,notebook,no os,intel,core i5,2.5,8,1024.0,nvidia,940mx,geforce,medio,fhd,no,15.6,no,629.0
547,asus,rog,gaming,windows 10,intel,core i7,2.8,16,2560.0,nvidia,gtx 1060,geforce,medio,fhd,no,15.6,no,1899.0
1293,lenovo,thinkpad,notebook,chrome os,intel,celeron dual core,1.6,4,16.0,intel,510,graphics,ligero,wxga,no,13.3,no,459.9
536,acer,aspire,notebook,linux,intel,core i3,2.0,4,2048.0,intel,520,graphics,medio,wxga,no,15.6,no,390.0
687,lenovo,otro,notebook,windows 10,intel,core i5,2.5,4,512.0,intel,620,graphics,medio,wxga,no,15.6,no,498.0
1023,dell,inspiron,notebook,linux,intel,core i7,2.7,8,2048.0,amd,r5 m430,radeon,medio,fhd,no,15.6,no,599.9
210,hp,otro,notebook,windows 10,amd,a6-series,2.5,4,2048.0,amd,r4,radeon,medio,fhd,no,15.6,no,398.0
657,dell,latitude,notebook,windows 10,intel,core i5,2.6,8,1000.0,intel,620,graphics,medio,wxga,no,15.6,no,1008.52
671,asus,rog,gaming,windows 10,intel,core i7,2.8,8,2560.0,nvidia,gtx 1060,geforce,medio,fhd,no,15.6,no,1655.0
194,lenovo,ideapad,notebook,windows 10,intel,core i5,2.3,4,2048.0,nvidia,gtx 950m,geforce,medio,fhd,no,15.6,no,977.0
672,hp,elitebook,notebook,windows 10,intel,core i7,2.7,8,1024.0,intel,620,graphics,ligero,fhd,no,14.0,no,1292.0
1152,acer,travelmate,notebook,windows 10,intel,core i5,2.5,4,1000.0,intel,620,graphics,medio,wxga,no,15.6,no,619.0
201,msi,ge73vr,gaming,windows 10,intel,core i7,2.8,16,3072.0,nvidia,gtx 1060,geforce,pesado,fhd,no,17.3,no,1890.0
792,acer,aspire,notebook,windows 10,intel,core i3,2.0,8,2048.0,intel,520,graphics,medio,wxga,no,14.0,no,389.0
306,lenovo,thinkpad,ultrabook,windows 10,intel,core i7,2.7,16,2048.0,intel,620,graphics,ligero,fhd,no,14.0,no,2450.0
828,dell,inspiron,notebook,windows 10,intel,core i7,2.7,16,2048.0,amd,r7 m445,radeon,medio,fhd,yes,15.6,yes,859.01
1055,hp,elitebook,netbook,windows 10,intel,core i7,2.7,8,2048.0,intel,620,graphics,ligero,fhd,no,12.5,no,1483.0
813,dell,alienware,gaming,windows 10,intel,core i7,2.8,32,6144.0,nvidia,gtx 1070,geforce,pesado,4k,no,17.3,no,3659.4
1000,acer,aspire,convertible,windows 10,intel,core i7,2.5,8,1024.0,intel,520,graphics,medio,fhd,yes,13.3,yes,789.01
110,hp,probook,notebook,windows 10,intel,core i5,2.5,8,2048.0,intel,620,graphics,medio,fhd,no,15.6,no,806.0
399,acer,aspire,notebook,linux,intel,core i5,2.5,4,1000.0,intel,620,graphics,medio,wxga,no,15.6,no,441.8
636,lenovo,ideapad,notebook,no os,intel,core i7,2.7,8,2048.0,nvidia,940mx,geforce,medio,fhd,no,15.6,no,709.0
1264,hp,elitebook,ultrabook,windows 10,intel,core i5,2.7,4,1024.0,intel,620,graphics,ligero,fhd,no,14.0,no,1082.0
318,lenovo,legion,gaming,windows 10,intel,core i7,2.8,16,1024.0,nvidia,gtx 1050 ti,geforce,medio,fhd,no,15.6,no,1079.0
172,acer,otro,convertible,windows 10,intel,core i7,1.3,8,1024.0,intel,615,graphics,ligero,fhd,yes,14.0,yes,1149.0
293,acer,aspire,notebook,windows 10,intel,core i7,1.8,8,1024.0,nvidia,mx150,geforce,pesado,fhd,no,15.6,no,951.0
138,lenovo,thinkpad,convertible,windows 7,intel,core i7,2.6,8,2048.0,nvidia,m500m,quadro,medio,fhd,yes,14.0,yes,2050.38
747,msi,gl62,gaming,windows 10,intel,core i7,2.6,8,2560.0,nvidia,gtx 960m,geforce,medio,fhd,no,15.6,no,1169.0
801,lenovo,thinkpad,notebook,windows 7,intel,core i7,2.6,16,1024.0,intel,520,graphics,ligero,qhd,no,14.0,no,2620.0
45,dell,latitude,ultrabook,windows 10,intel,core i7,2.8,8,2048.0,intel,otro,graphics,ligero,fhd,no,14.0,no,1680.0
1262,lenovo,ideapad,notebook,windows 10,intel,core i3,2.0,8,512.0,intel,520,graphics,medio,wxga,no,15.6,no,589.0
923,acer,aspire,convertible,windows 10,intel,core i5,2.3,8,1024.0,intel,520,graphics,medio,fhd,yes,13.3,yes,689.0
879,acer,aspire,notebook,windows 10,intel,core i3,2.0,8,2048.0,nvidia,940mx,geforce,pesado,ips,no,17.3,no,629.0
931,toshiba,portégé,ultrabook,windows 10,intel,core i5,2.3,8,1024.0,intel,520,graphics,ligero,fhd,no,13.3,no,1590.0
730,asus,otro,gaming,windows 10,intel,core i7,2.6,8,2048.0,nvidia,gtx 1060,geforce,medio,fhd,no,15.6,no,1169.0
55,asus,otro,notebook,linux,intel,core i3,2.4,8,2048.0,nvidia,940mx,geforce,medio,fhd,no,15.6,no,597.0
373,hp,spectre,convertible,windows 10,intel,core i7,2.6,8,2048.0,intel,520,graphics,ligero,qhd,yes,13.3,yes,2041.0
603,lenovo,ideapad,notebook,windows 10,intel,core i7,2.7,6,1024.0,nvidia,940mx,geforce,medio,fhd,no,15.6,no,789.0
197,toshiba,portege,notebook,windows 10,intel,core i5,2.5,8,1024.0,intel,620,graphics,ligero,fhd,no,13.3,no,1475.0
599,asus,rog,gaming,windows 10,amd,ryzen 1600,3.2,8,3072.0,amd,rx 580,radeon,pesado,fhd,no,17.3,no,1695.0
1258,acer,predator,gaming,windows 10,intel,core i7,2.8,16,3072.0,nvidia,gtx 1060,geforce,pesado,fhd,no,17.3,no,2299.0
682,hp,probook,notebook,windows 10,intel,core i5,1.6,4,1000.0,intel,620,uhd graphics,medio,wxga,no,14.0,no,722.0
752,acer,swift,ultrabook,windows 10,intel,core i5,1.6,8,1024.0,intel,620,uhd graphics,medio,fhd,no,14.0,no,770.0
283,mediacom,smartbook,notebook,windows 10,intel,atom x5,1.44,4,32.0,intel,otro,graphics,ligero,fhd,no,13.3,no,255.0
