id,laptop_ID,Company,Product,TypeName,Inches,Gpu,Price_euros,Pantalla,Marca_Procesador,Modelo_Procesador,SSD,HDD,Flash Storage,Hybrid,Categoria_Peso,Velocidad_Procesador_GHz,S.O,Ram_GB
518,617,Lenovo,Thinkpad P51,Notebook,15.6,Nvidia Quadro M2200M,4899.0,4K,Intel,Xeon E3-1535M,1 TB,0 GB,0 GB,0 GB,Medio,3.1,Windows 10,32
1126,172,Acer,Aspire A517-51G,Notebook,17.3,Nvidia GeForce MX150,854.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Pesado,1.6,Windows 10,8
51,1097,Lenovo,Yoga Book,2 in 1 Convertible,10.1,Intel HD Graphics 400,646.27,IPS,Intel,Atom x5,0 GB,0 GB,64 GB,0 GB,Ligero,1.44,Windows 10,4
772,717,HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,17.3,AMD Radeon 530,655.01,FHD,AMD,A10-Series,0 GB,2 TB,0 GB,0 GB,Pesado,2.5,Windows 10,6
1001,814,HP,EliteBook 820,Netbook,12.5,Intel HD Graphics 620,1389.0,WXGA,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Ligero,2.6,Windows 10,8
330,202,HP,Omen 17-W295,Gaming,17.3,Nvidia GeForce GTX 1050,1379.0,FHD,Intel,Core i7,256 GB,1 TB,0 GB,0 GB,Pesado,2.8,Windows 10,16
66,405,Dell,Precision M5520,Workstation,15.6,Nvidia Quadro M1200,2712.0,4K,Intel,Core i7,256 GB,0 GB,0 GB,0 GB,Medio,2.8,Windows 10,8
829,41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Intel HD Graphics 620,389.0,FHD,Intel,Core i3,0 GB,1 TB,0 GB,0 GB,Medio,2.0,Linux,4
1129,741,Acer,Extensa EX2540-58KR,Notebook,15.6,Intel HD Graphics 620,559.0,WXGA,Intel,Core i5,0 GB,500 GB,0 GB,0 GB,Medio,2.5,Windows 10,4
1197,983,Lenovo,IdeaPad 310-15IKB,Notebook,15.6,Nvidia GeForce 920MX,695.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Medio,2.5,Windows 10,6
171,407,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Intel HD Graphics 500,306.0,WXGA,Intel,Celeron Dual Core,0 GB,1 TB,0 GB,0 GB,Medio,1.1,Windows 10,4
233,323,HP,ProBook 640,Notebook,14.0,Intel HD Graphics 620,980.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Medio,2.5,Windows 10,8
205,166,Dell,Inspiron 3576,Notebook,15.6,AMD Radeon 520,728.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Medio,1.6,Windows 10,8
361,309,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,1265.0,FHD,Intel,Core i7,128 GB,1 TB,0 GB,0 GB,Medio,2.8,Windows 10,8
1250,1276,Lenovo,B51-80 (i7-6500U/8GB/1008GB/Radeon,Notebook,15.6,AMD Radeon R5 M330,895.0,FHD,Intel,Core i7,0 GB,0 GB,0 GB,1.0 TB,Medio,2.5,Windows 7,8
707,910,Dell,Vostro 3568,Notebook,15.6,AMD Radeon R5 M420X,614.0,WXGA,Intel,Core i3,0 GB,1 TB,0 GB,0 GB,Medio,2.0,Windows 10,4
884,919,Acer,Chromebook CB5-571-C1DZ,Notebook,15.6,Intel HD Graphics,359.0,FHD,Intel,Celeron Dual Core,0 GB,0 GB,16 GB,0 GB,Medio,1.5,Chrome OS,4
1071,1258,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,AMD Radeon 530,597.57,FHD,AMD,A12-Series,256 GB,0 GB,0 GB,0 GB,Medio,3.6,Windows 10,6
95,895,Dell,Inspiron 3552,Notebook,15.6,Intel HD Graphics,369.0,WXGA,Intel,Pentium Quad Core,0 GB,500 GB,0 GB,0 GB,Medio,1.6,Windows 10,4
745,1190,Asus,X553SA-XX021T (N3050/4GB/500GB/W10),Notebook,15.6,Intel HD Graphics,369.0,WXGA,Intel,Celeron Dual Core,0 GB,500 GB,0 GB,0 GB,Medio,1.6,Windows 10,4
899,37,Acer,Aspire 3,Notebook,15.6,Intel HD Graphics 620,367.0,WXGA,Intel,Core i3,0 GB,1 TB,0 GB,0 GB,Medio,2.7,Linux,4
313,333,Asus,VivoBook S15,Ultrabook,15.6,Nvidia GeForce 940MX,1049.9,FHD,Intel,Core i7,256 GB,0 GB,0 GB,0 GB,Medio,2.7,Windows 10,8
1063,933,MSI,GL62M 7RD,Gaming,15.6,Nvidia GeForce GTX 1050,1119.91,FHD,Intel,Core i5,128 GB,1 TB,0 GB,0 GB,Medio,2.5,Windows 10,8
193,1066,Dell,Inspiron 5578,2 in 1 Convertible,15.6,Intel HD Graphics 620,1094.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Medio,2.7,Windows 10,8
625,25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Intel HD Graphics 620,659.0,FHD,Intel,Core i7,256 GB,0 GB,0 GB,0 GB,Medio,1.8,Windows 10,8
142,429,HP,ProBook 650,Notebook,15.6,Intel HD Graphics 630,1427.0,FHD,Intel,Core i7,256 GB,0 GB,0 GB,0 GB,Medio,2.9,Windows 10,8
243,685,HP,Chromebook X360,2 in 1 Convertible,11.6,Intel HD Graphics 500,495.0,WXGA,Intel,Celeron Dual Core,0 GB,0 GB,64 GB,0 GB,Ligero,1.1,Chrome OS,8
1214,341,HP,EliteBook 840,Notebook,14.0,Intel HD Graphics 620,1268.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Ligero,2.6,Windows 10,8
1047,26,Dell,Inspiron 3567,Notebook,15.6,Intel HD Graphics 520,418.64,WXGA,Intel,Core i3,0 GB,1 TB,0 GB,0 GB,Medio,2.0,Windows 10,4
648,882,Lenovo,IdeaPad 110-15ISK,Notebook,15.6,AMD Radeon R5 M430,479.0,FHD,Intel,Core i3,0 GB,1 TB,0 GB,0 GB,Medio,2.0,No OS,4
34,7,Apple,MacBook Pro,Ultrabook,15.4,Intel Iris Pro Graphics,2139.97,IPS,Intel,Core i7,0 GB,0 GB,256 GB,0 GB,Medio,2.2,Mac OS X,16
804,1100,HP,EliteBook 840,Notebook,14.0,Intel HD Graphics 520,1030.99,FHD,Intel,Core i5,0 GB,500 GB,0 GB,0 GB,Medio,2.3,Windows 7,4
872,555,HP,250 G6,Notebook,15.6,Intel HD Graphics 520,397.0,FHD,Intel,Core i3,0 GB,500 GB,0 GB,0 GB,Medio,2.0,Windows 10,4
1297,1166,HP,EliteBook 850,Notebook,15.6,Intel HD Graphics 520,1579.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Medio,2.3,Windows 7,8
192,720,Dell,Vostro 5568,Notebook,15.6,Intel HD Graphics 620,726.0,FHD,Intel,Core i5,0 GB,1 TB,0 GB,0 GB,Medio,2.5,Linux,8
451,443,HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,Intel HD Graphics 400,347.0,WXGA,Intel,Celeron Dual Core,0 GB,500 GB,0 GB,0 GB,Medio,1.6,Windows 10,4
894,997,Fujitsu,LifeBook A556,Notebook,15.6,Intel HD Graphics 520,649.0,WXGA,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Medio,2.3,Windows 10,4
961,1051,Toshiba,Tecra Z40-C-136,Ultrabook,14.0,Intel HD Graphics 520,1725.0,FHD,Intel,Core i7,256 GB,0 GB,0 GB,0 GB,Ligero,2.6,Windows 10,8
1168,762,Lenovo,Thinkpad T460,Ultrabook,14.0,Intel HD Graphics 520,1096.0,FHD,Intel,Core i5,180 GB,0 GB,0 GB,0 GB,Medio,2.3,Windows 10,4
966,1238,Lenovo,Thinkpad T560,Notebook,15.6,Intel HD Graphics 520,1529.0,FHD,Intel,Core i7,256 GB,0 GB,0 GB,0 GB,Medio,2.6,Windows 10,8
794,633,Mediacom,SmartBook 140,Notebook,14.0,Intel HD Graphics,239.0,FHD,Intel,Atom x5,0 GB,0 GB,32 GB,0 GB,Ligero,1.44,Windows 10,2
763,417,Lenovo,ThinkPad P51,Workstation,15.6,Nvidia Quadro M1200,1925.0,FHD,Intel,Core i7,512 GB,0 GB,0 GB,0 GB,Pesado,2.8,Windows 10,8
946,109,Lenovo,Ideapad 310-15ISK,Notebook,15.6,Intel HD Graphics 520,414.9,FHD,Intel,Core i3,0 GB,1 TB,0 GB,0 GB,Medio,2.0,Windows 10,4
1298,473,Acer,Aspire 5,Notebook,15.6,Nvidia GeForce GTX 940MX,469.0,WXGA,Intel,Core i3,0 GB,500 GB,0 GB,0 GB,Medio,2.0,Windows 10,4
715,1147,Asus,L403NA-GA013TS (N3350/4GB/32GB/W10),Notebook,14.0,Intel HD Graphics 500,278.0,WXGA,Intel,Celeron Dual Core,0 GB,0 GB,32 GB,0 GB,Medio,1.1,Windows 10,4
762,212,Dell,XPS 13,Ultrabook,13.3,Intel UHD Graphics 620,1449.0,FHD,Intel,Core i7,256 GB,0 GB,0 GB,0 GB,Ligero,1.8,Windows 10,8
1101,795,MSI,GL62M (i5-7300HQ/8GB/1TB,Gaming,15.6,Nvidia GeForce GTX 1050,1089.0,FHD,Intel,Core i5,128 GB,1 TB,0 GB,0 GB,Medio,2.5,Windows 10,8
994,1004,HP,EliteBook Folio,Netbook,12.5,Intel HD Graphics 515,1908.0,FHD,Intel,Core M 6Y75,512 GB,0 GB,0 GB,0 GB,Ligero,1.2,Windows 10,8
528,434,Dell,Latitude 5480,Ultrabook,14.0,Intel HD Graphics 620,1099.0,FHD,Intel,Core i7,256 GB,0 GB,0 GB,0 GB,Medio,2.8,Linux,8
926,1219,Lenovo,IdeaPad 310-15ISK,Notebook,15.6,Nvidia GeForce 920MX,629.0,WXGA,Intel,Core i7,0 GB,500 GB,0 GB,0 GB,Medio,2.5,No OS,8
791,1106,HP,250 G6,Notebook,15.6,Intel HD Graphics 520,345.99,WXGA,Intel,Core i3,0 GB,1 TB,0 GB,0 GB,Medio,2.0,No OS,4
351,963,Acer,Chromebook 14,Notebook,14.0,Intel HD Graphics 400,349.0,WXGA,Intel,Celeron Dual Core,0 GB,0 GB,32 GB,0 GB,Medio,1.6,Chrome OS,4
166,1052,Dell,Latitude E5570,Notebook,15.6,Intel HD Graphics 520,1062.95,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Medio,2.4,Windows 7,8
1196,168,Acer,Aspire A315-31,Notebook,15.6,Intel HD Graphics 500,348.0,WXGA,Intel,Celeron Dual Core,0 GB,1 TB,0 GB,0 GB,Medio,1.1,Windows 10,4
1056,320,Dell,Inspiron 5570,Notebook,15.6,AMD Radeon 530,844.0,FHD,Intel,Core i5,128 GB,1 TB,0 GB,0 GB,Medio,1.6,Windows 10,8
909,200,Razer,Blade Pro,Gaming,17.3,Nvidia GeForce GTX 1080,6099.0,4K,Intel,Core i7,1 TB,0 GB,0 GB,0 GB,Pesado,2.9,Windows 10,32
1189,681,Lenovo,IdeaPad 320-15AST,Notebook,15.6,AMD Radeon R2 Graphics,349.0,WXGA,AMD,E-Series,128 GB,0 GB,0 GB,0 GB,Medio,2.2,Windows 10,4
654,1092,MSI,GT72VR Dominator,Gaming,17.3,Nvidia GeForce GTX 1070,2499.0,FHD,Intel,Core i7,256 GB,1 TB,0 GB,0 GB,Pesado,2.8,Windows 10,16
968,670,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel HD Graphics 520,535.0,FHD,Intel,Core i5,0 GB,500 GB,0 GB,0 GB,Medio,2.3,Windows 10,4
1027,1164,HP,EliteBook 820,Ultrabook,12.5,Intel HD Graphics 520,2296.95,FHD,Intel,Core i7,256 GB,0 GB,0 GB,0 GB,Ligero,2.5,Windows 7,8
217,759,Lenovo,N23 (N3060/4GB/128GB/W10),Netbook,11.6,Intel HD Graphics 400,475.0,WXGA,Intel,Celeron Dual Core,128 GB,0 GB,0 GB,0 GB,Ligero,1.6,Windows 10,4
1224,657,Lenovo,Thinkpad X270,Ultrabook,12.5,Intel HD Graphics 620,1584.0,FHD,Intel,Core i7,256 GB,0 GB,0 GB,0 GB,Ligero,2.7,Windows 10,8
559,189,Dell,Inspiron 7773,Notebook,17.3,Nvidia GeForce 150MX,1549.0,FHD,Intel,Core i7,512 GB,0 GB,0 GB,0 GB,Pesado,1.8,Windows 10,16
136,517,Dell,XPS 13,Ultrabook,13.3,Intel HD Graphics 620,899.0,FHD,Intel,Core i5,128 GB,0 GB,0 GB,0 GB,Ligero,2.5,Windows 10,8
420,198,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Intel UHD Graphics 620,839.0,FHD,Intel,Core i7,0 GB,1 TB,0 GB,0 GB,Medio,1.8,Windows 10,8
54,498,Toshiba,Portege X30-D-10L,Ultrabook,13.3,Intel HD Graphics 620,2799.0,FHD,Intel,Core i7,512 GB,0 GB,0 GB,0 GB,Ligero,2.7,Windows 10,32
788,127,Acer,Aspire 3,Notebook,15.6,AMD Radeon R5,451.0,WXGA,AMD,A9-Series,256 GB,0 GB,0 GB,0 GB,Medio,3.0,Windows 10,4
628,765,HP,15-cb003na (i5-7300HQ/8GB/1TB,Notebook,15.6,Nvidia GeForce GTX 1050,1099.0,FHD,Intel,Core i5,128 GB,1 TB,0 GB,0 GB,Medio,2.5,Windows 10,8
1215,274,Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Notebook,15.6,Intel UHD Graphics 620,880.0,FHD,Intel,Core i7,256 GB,0 GB,0 GB,0 GB,Medio,1.8,Windows 10,8
396,1168,Lenovo,V110-15ISK (i3-6006U/4GB/1TB/No,Notebook,15.6,Intel HD Graphics 520,339.0,WXGA,Intel,Core i3,0 GB,1 TB,0 GB,0 GB,Medio,2.0,No OS,4
1083,1320,Asus,X553SA-XX031T (N3050/4GB/500GB/W10),Notebook,15.6,Intel HD Graphics,369.0,WXGA,Intel,Celeron Dual Core,0 GB,500 GB,0 GB,0 GB,Medio,1.6,Windows 10,4
20,858,HP,EliteBook x360,2 in 1 Convertible,13.3,Intel HD Graphics 620,2277.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Ligero,2.5,Windows 10,8
1263,94,HP,Probook 430,Notebook,13.3,Intel UHD Graphics 620,1197.0,FHD,Intel,Core i7,512 GB,0 GB,0 GB,0 GB,Ligero,1.8,Windows 10,16
258,908,Dell,Inspiron 7567,Gaming,15.6,Nvidia GeForce GTX 1050Ti,929.0,FHD,Intel,Core i7,0 GB,1 TB,0 GB,0 GB,Pesado,2.8,Linux,8
159,950,Dell,Vostro 3568,Notebook,15.6,Intel HD Graphics 520,558.6,WXGA,Intel,Core i3,0 GB,1 TB,0 GB,0 GB,Medio,2.0,Windows 10,4
572,959,Lenovo,IdeaPad Y700-15ACZ,Gaming,15.6,AMD Radeon R9 M385,999.0,FHD,AMD,FX 8800,512 GB,1 TB,0 GB,0 GB,Medio,2.1,Windows 10,16
374,538,Toshiba,Satellite Pro,Notebook,15.6,Intel HD Graphics 620,860.0,FHD,Intel,Core i5,0 GB,500 GB,0 GB,0 GB,Medio,2.5,Windows 10,8
25,1142,HP,EliteBook 820,Ultrabook,12.5,Intel HD Graphics 520,1895.0,WXGA,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Ligero,2.4,Windows 7,8
345,796,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Nvidia GeForce GTX 1050,999.0,FHD,Intel,Core i7,0 GB,1 TB,0 GB,0 GB,Medio,2.8,Windows 10,4
827,813,Dell,Latitude 3180,Netbook,11.6,Intel HD Graphics 505,744.0,WXGA,Intel,Pentium Quad Core,128 GB,0 GB,0 GB,0 GB,Medio,1.1,Windows 10,4
661,525,HP,Probook 450,Notebook,15.6,Nvidia GeForce 930MX,889.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Medio,2.5,Windows 10,8
102,603,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,Intel HD Graphics 620,2025.0,FHD,Intel,Core i7,512 GB,0 GB,0 GB,0 GB,Ligero,2.7,Windows 10,8
185,596,Asus,ROG Strix,Gaming,17.3,Nvidia GeForce GTX 1060,1770.0,FHD,Intel,Core i5,128 GB,1 TB,0 GB,0 GB,Pesado,2.5,Windows 10,8
69,233,Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,Nvidia GeForce GTX 950M,891.0,FHD,Intel,Core i5,256 GB,500 GB,0 GB,0 GB,Pesado,2.5,Windows 10,8
327,169,MSI,GE63VR 7RE,Gaming,15.6,Nvidia GeForce GTX 1060,1799.0,FHD,Intel,Core i7,256 GB,1 TB,0 GB,0 GB,Medio,2.8,Windows 10,16
439,899,Acer,Chromebook C731-C78G,Netbook,11.6,Intel HD Graphics 400,297.0,WXGA,Intel,Celeron Dual Core,0 GB,0 GB,32 GB,0 GB,Ligero,1.6,Chrome OS,4
662,263,MSI,GT73EVR 7RE,Gaming,17.3,Nvidia GeForce GTX 1070,2499.0,FHD,Intel,Core i7,512 GB,1 TB,0 GB,0 GB,Pesado,2.8,Windows 10,16
799,242,Asus,X555QG-DM242T (A10-9620P/4GB/1TB,Notebook,15.6,AMD Radeon R5 M430,575.0,FHD,AMD,A10-Series,128 GB,1 TB,0 GB,0 GB,Medio,2.5,Windows 10,4
555,267,HP,ProBook 450,Notebook,15.6,Intel HD Graphics 620,722.0,FHD,Intel,Core i5,0 GB,500 GB,0 GB,0 GB,Medio,1.6,Windows 10,4
40,781,Toshiba,Tecra A40-C-1E5,Notebook,14.0,Intel HD Graphics 520,1020.0,WXGA,Intel,Core i5,128 GB,0 GB,0 GB,0 GB,Medio,2.3,Windows 10,4
1110,1289,Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,Intel HD Graphics 520,1499.0,IPS,Intel,Core i7,512 GB,0 GB,0 GB,0 GB,Ligero,2.5,Windows 10,16
998,375,HP,Elitebook 1040,Ultrabook,14.0,Intel HD Graphics 620,1750.0,FHD,Intel,Core i7,256 GB,0 GB,0 GB,0 GB,Ligero,2.7,Windows 10,8
500,1121,MSI,GE72 Apache,Gaming,17.3,Nvidia GeForce GTX 960M,1511.19,FHD,Intel,Core i7,128 GB,1 TB,0 GB,0 GB,Pesado,2.6,Windows 10,8
734,644,Dell,XPS 13,Ultrabook,13.3,Intel UHD Graphics 620,1869.0,IPS,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Ligero,1.6,Windows 10,8
974,484,Lenovo,Thinkpad T470,Notebook,14.0,Intel HD Graphics 620,1364.0,FHD,Intel,Core i5,180 GB,0 GB,0 GB,0 GB,Medio,2.5,Windows 10,8
117,896,HP,EliteBook x360,2 in 1 Convertible,13.3,Intel HD Graphics 620,1799.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Ligero,2.5,Windows 10,4
392,1030,HP,ProBook 450,Notebook,15.6,Intel HD Graphics 620,769.99,WXGA,Intel,Core i3,256 GB,0 GB,0 GB,0 GB,Medio,2.4,Windows 10,4
1060,520,Dell,Inspiron 5570,Notebook,15.6,AMD Radeon 530,1219.24,FHD,Intel,Core i7,256 GB,2 TB,0 GB,0 GB,Medio,1.8,Windows 10,16
613,810,Asus,Pro P2540UA-XS51,Notebook,15.6,Intel HD Graphics 620,1099.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Medio,2.5,Windows 10,8
711,119,HP,Probook 440,Notebook,14.0,Intel UHD Graphics 620,1084.0,FHD,Intel,Core i7,512 GB,0 GB,0 GB,0 GB,Medio,1.8,Windows 10,8
1245,1016,Dell,Vostro 3568,Notebook,15.6,Intel HD Graphics 620,547.0,WXGA,Intel,Core i3,128 GB,0 GB,0 GB,0 GB,Medio,2.4,Windows 10,4
639,412,Asus,Zenbook 3,Ultrabook,14.0,Intel HD Graphics 620,1873.0,FHD,Intel,Core i7,512 GB,0 GB,0 GB,0 GB,Ligero,2.7,Windows 10,8
9,165,Acer,Aspire A517-51G,Notebook,17.3,Nvidia GeForce MX150,805.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Pesado,1.6,Windows 10,4
1213,712,Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,Notebook,15.6,Intel HD Graphics 520,450.0,WXGA,Intel,Core i3,0 GB,500 GB,0 GB,0 GB,Medio,2.0,No OS,4
535,432,Dell,Inspiron 7577,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,1159.0,FHD,Intel,Core i7,128 GB,1 TB,0 GB,0 GB,Pesado,2.8,Windows 10,8
155,1206,Dell,XPS 13,Ultrabook,13.3,Intel HD Graphics 520,1099.0,IPS,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Ligero,2.4,Linux,8
1074,561,HP,ProBook 470,Notebook,17.3,Nvidia GeForce 930MX,1280.0,FHD,Intel,Core i7,0 GB,1 TB,0 GB,0 GB,Pesado,2.7,Windows 10,8
472,599,Dell,Inspiron 3179,2 in 1 Convertible,11.6,Intel HD Graphics 615,603.0,WXGA,Intel,Core M 7Y30,128 GB,0 GB,0 GB,0 GB,Ligero,1.0,Windows 10,4
47,601,Lenovo,V320-17ISK (i3-6006U/4GB/500GB/FHD/No,Notebook,17.3,Intel HD Graphics 520,529.0,FHD,Intel,Core i3,0 GB,500 GB,0 GB,0 GB,Pesado,2.0,No OS,4
5,132,HP,ProBook 470,Notebook,17.3,Intel UHD Graphics 620,928.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Medio,1.6,Windows 10,8
466,1139,Asus,VivoBook Max,Notebook,15.6,Intel HD Graphics 620,435.0,WXGA,Intel,Core i3,0 GB,1 TB,0 GB,0 GB,Medio,2.4,Windows 10,4
712,129,HP,Probook 440,Notebook,14.0,Intel UHD Graphics 620,812.0,FHD,Intel,Core i5,0 GB,1 TB,0 GB,0 GB,Medio,1.6,Windows 10,8
212,838,Acer,Swift 3,Notebook,14.0,Intel HD Graphics 620,619.0,FHD,Intel,Core i3,128 GB,0 GB,0 GB,0 GB,Medio,2.4,Windows 10,8
1067,3,HP,250 G6,Notebook,15.6,Intel HD Graphics 620,575.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Medio,2.5,No OS,8
785,371,HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,Intel HD Graphics 405,389.0,WXGA,Intel,Pentium Quad Core,0 GB,2 TB,0 GB,0 GB,Medio,1.6,Windows 10,8
332,806,Dell,Latitude 3580,Notebook,15.6,Intel HD Graphics 620,810.0,WXGA,Intel,Core i5,128 GB,0 GB,0 GB,0 GB,Medio,2.5,Windows 10,8
1199,625,MSI,GT62VR 7RE,Gaming,15.6,Nvidia GeForce GTX 1070,2267.86,FHD,Intel,Core i7,256 GB,1 TB,0 GB,0 GB,Pesado,2.8,Windows 10,16
412,298,Dell,XPS 15,Notebook,15.6,Nvidia GeForce GTX 1050,1829.0,FHD,Intel,Core i7,256 GB,0 GB,0 GB,0 GB,Medio,2.8,Windows 10,8
200,424,HP,EliteBook 1040,Ultrabook,14.0,Intel HD Graphics 520,1500.0,FHD,Intel,Core i7,256 GB,0 GB,0 GB,0 GB,Ligero,2.5,Windows 10,8
509,337,Toshiba,Satellite Pro,Notebook,15.6,Intel HD Graphics 620,943.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Medio,2.5,Windows 10,8
411,1247,MSI,GL62M 7RDX,Gaming,15.6,Nvidia GeForce GTX 1050,1149.0,FHD,Intel,Core i7,128 GB,1 TB,0 GB,0 GB,Medio,2.8,Windows 10,8
627,878,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,Intel HD Graphics 620,1950.0,FHD,Intel,Core i7,256 GB,0 GB,0 GB,0 GB,Ligero,2.7,Windows 10,8
