id,laptop_ID,Company,Product,TypeName,Inches,Ram,Gpu,OpSys,Price_euros,Pantalla,Touchscreen,Marca_Procesador,Modelo_Procesador,Velocidad_Procesador,SSD,HDD,Flash Storage,Hybrid,Peso_KG
36,834,Toshiba,Satellite Pro,Notebook,14.0,4GB,Intel HD Graphics 510,Windows 10,499.0,WXGA,No,Intel,Pentium Dual Core,2.1GHz,128 GB,0 GB,0 GB,0 GB,1.75
971,82,Dell,Latitude 5590,Ultrabook,15.6,8GB,Intel UHD Graphics 620,Windows 10,1096.16,FHD,No,Intel,Core i5,1.6GHz,256 GB,0 GB,0 GB,0 GB,1.88
938,159,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,4GB,Intel HD Graphics 620,Windows 10,629.0,FHD,Yes,Intel,Core i3,2.4GHz,256 GB,0 GB,0 GB,0 GB,1.74
718,332,Acer,Aspire E5-575,Notebook,15.6,6GB,Intel HD Graphics 620,Windows 10,549.0,WXGA,No,Intel,Core i5,2.5GHz,0 GB,1 TB,0 GB,0 GB,2.23
518,617,Lenovo,Thinkpad P51,Notebook,15.6,32GB,Nvidia Quadro M2200M,Windows 10,4899.0,4K,No,Intel,Xeon E3-1535M,3.1GHz,1 TB,0 GB,0 GB,0 GB,2.5
1126,172,Acer,Aspire A517-51G,Notebook,17.3,8GB,Nvidia GeForce MX150,Windows 10,854.0,FHD,No,Intel,Core i5,1.6GHz,256 GB,0 GB,0 GB,0 GB,3.0
51,1097,Lenovo,Yoga Book,2 in 1 Convertible,10.1,4GB,Intel HD Graphics 400,Windows 10,646.27,IPS,Yes,Intel,Atom x5,1.44GHz,0 GB,0 GB,64 GB,0 GB,0.69
772,717,HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,17.3,6GB,AMD Radeon 530,Windows 10,655.01,FHD,No,AMD,A10-Series,2.5GHz,0 GB,2 TB,0 GB,0 GB,2.71
1001,814,HP,EliteBook 820,Netbook,12.5,8GB,Intel HD Graphics 620,Windows 10,1389.0,WXGA,No,Intel,Core i5,2.6GHz,256 GB,0 GB,0 GB,0 GB,1.26
330,202,HP,Omen 17-W295,Gaming,17.3,16GB,Nvidia GeForce GTX 1050,Windows 10,1379.0,FHD,No,Intel,Core i7,2.8GHz,256 GB,1 TB,0 GB,0 GB,3.35
66,405,Dell,Precision M5520,Workstation,15.6,8GB,Nvidia Quadro M1200,Windows 10,2712.0,4K,Yes,Intel,Core i7,2.8GHz,256 GB,0 GB,0 GB,0 GB,1.78
829,41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,4GB,Intel HD Graphics 620,Linux,389.0,FHD,No,Intel,Core i3,2GHz,0 GB,1 TB,0 GB,0 GB,2.0
1129,741,Acer,Extensa EX2540-58KR,Notebook,15.6,4GB,Intel HD Graphics 620,Windows 10,559.0,WXGA,No,Intel,Core i5,2.5GHz,0 GB,500 GB,0 GB,0 GB,2.4
1197,983,Lenovo,IdeaPad 310-15IKB,Notebook,15.6,6GB,Nvidia GeForce 920MX,Windows 10,695.0,FHD,No,Intel,Core i5,2.5GHz,256 GB,0 GB,0 GB,0 GB,2.4
171,407,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4GB,Intel HD Graphics 500,Windows 10,306.0,WXGA,No,Intel,Celeron Dual Core,1.1GHz,0 GB,1 TB,0 GB,0 GB,2.2
233,323,HP,ProBook 640,Notebook,14.0,8GB,Intel HD Graphics 620,Windows 10,980.0,FHD,No,Intel,Core i5,2.5GHz,256 GB,0 GB,0 GB,0 GB,1.95
205,166,Dell,Inspiron 3576,Notebook,15.6,8GB,AMD Radeon 520,Windows 10,728.0,FHD,No,Intel,Core i5,1.6GHz,256 GB,0 GB,0 GB,0 GB,2.13
361,309,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,8GB,Nvidia GeForce GTX 1050 Ti,Windows 10,1265.0,FHD,No,Intel,Core i7,2.8GHz,128 GB,1 TB,0 GB,0 GB,2.5
1250,1276,Lenovo,B51-80 (i7-6500U/8GB/1008GB/Radeon,Notebook,15.6,8GB,AMD Radeon R5 M330,Windows 7,895.0,FHD,No,Intel,Core i7,2.5GHz,0 GB,0 GB,0 GB,1.0 TB,2.32
707,910,Dell,Vostro 3568,Notebook,15.6,4GB,AMD Radeon R5 M420X,Windows 10,614.0,WXGA,No,Intel,Core i3,2.0GHz,0 GB,1 TB,0 GB,0 GB,2.18
884,919,Acer,Chromebook CB5-571-C1DZ,Notebook,15.6,4GB,Intel HD Graphics,Chrome OS,359.0,FHD,No,Intel,Celeron Dual Core,1.5GHz,0 GB,0 GB,16 GB,0 GB,2.2
1071,1258,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,6GB,AMD Radeon 530,Windows 10,597.57,FHD,No,AMD,A12-Series,3.6GHz,256 GB,0 GB,0 GB,0 GB,2.2
95,895,Dell,Inspiron 3552,Notebook,15.6,4GB,Intel HD Graphics,Windows 10,369.0,WXGA,No,Intel,Pentium Quad Core,1.6GHz,0 GB,500 GB,0 GB,0 GB,2.2
745,1190,Asus,X553SA-XX021T (N3050/4GB/500GB/W10),Notebook,15.6,4GB,Intel HD Graphics,Windows 10,369.0,WXGA,No,Intel,Celeron Dual Core,1.6GHz,0 GB,500 GB,0 GB,0 GB,2.2
899,37,Acer,Aspire 3,Notebook,15.6,4GB,Intel HD Graphics 620,Linux,367.0,WXGA,No,Intel,Core i3,2.7GHz,0 GB,1 TB,0 GB,0 GB,2.1
313,333,Asus,VivoBook S15,Ultrabook,15.6,8GB,Nvidia GeForce 940MX,Windows 10,1049.9,FHD,No,Intel,Core i7,2.7GHz,256 GB,0 GB,0 GB,0 GB,1.7
1063,933,MSI,GL62M 7RD,Gaming,15.6,8GB,Nvidia GeForce GTX 1050,Windows 10,1119.91,FHD,No,Intel,Core i5,2.5GHz,128 GB,1 TB,0 GB,0 GB,2.2
193,1066,Dell,Inspiron 5578,2 in 1 Convertible,15.6,8GB,Intel HD Graphics 620,Windows 10,1094.0,FHD,Yes,Intel,Core i5,2.7GHz,256 GB,0 GB,0 GB,0 GB,2.3
625,25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,8GB,Intel HD Graphics 620,Windows 10,659.0,FHD,No,Intel,Core i7,1.8GHz,256 GB,0 GB,0 GB,0 GB,1.91
142,429,HP,ProBook 650,Notebook,15.6,8GB,Intel HD Graphics 630,Windows 10,1427.0,FHD,No,Intel,Core i7,2.9GHz,256 GB,0 GB,0 GB,0 GB,2.31
243,685,HP,Chromebook X360,2 in 1 Convertible,11.6,8GB,Intel HD Graphics 500,Chrome OS,495.0,WXGA,Yes,Intel,Celeron Dual Core,1.1GHz,0 GB,0 GB,64 GB,0 GB,1.4
1214,341,HP,EliteBook 840,Notebook,14.0,8GB,Intel HD Graphics 620,Windows 10,1268.0,FHD,No,Intel,Core i5,2.6GHz,256 GB,0 GB,0 GB,0 GB,1.48
1047,26,Dell,Inspiron 3567,Notebook,15.6,4GB,Intel HD Graphics 520,Windows 10,418.64,WXGA,No,Intel,Core i3,2GHz,0 GB,1 TB,0 GB,0 GB,2.3
648,882,Lenovo,IdeaPad 110-15ISK,Notebook,15.6,4GB,AMD Radeon R5 M430,No OS,479.0,FHD,No,Intel,Core i3,2GHz,0 GB,1 TB,0 GB,0 GB,2.2
34,7,Apple,MacBook Pro,Ultrabook,15.4,16GB,Intel Iris Pro Graphics,Mac OS X,2139.97,IPS,No,Intel,Core i7,2.2GHz,0 GB,0 GB,256 GB,0 GB,2.04
804,1100,HP,EliteBook 840,Notebook,14.0,4GB,Intel HD Graphics 520,Windows 7,1030.99,FHD,No,Intel,Core i5,2.3GHz,0 GB,500 GB,0 GB,0 GB,1.54
872,555,HP,250 G6,Notebook,15.6,4GB,Intel HD Graphics 520,Windows 10,397.0,FHD,No,Intel,Core i3,2GHz,0 GB,500 GB,0 GB,0 GB,1.86
1297,1166,HP,EliteBook 850,Notebook,15.6,8GB,Intel HD Graphics 520,Windows 7,1579.0,FHD,No,Intel,Core i5,2.3GHz,256 GB,0 GB,0 GB,0 GB,1.88
192,720,Dell,Vostro 5568,Notebook,15.6,8GB,Intel HD Graphics 620,Linux,726.0,FHD,No,Intel,Core i5,2.5GHz,0 GB,1 TB,0 GB,0 GB,1.98
451,443,HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,4GB,Intel HD Graphics 400,Windows 10,347.0,WXGA,No,Intel,Celeron Dual Core,1.6GHz,0 GB,500 GB,0 GB,0 GB,2.1
894,997,Fujitsu,LifeBook A556,Notebook,15.6,4GB,Intel HD Graphics 520,Windows 10,649.0,WXGA,No,Intel,Core i5,2.3GHz,256 GB,0 GB,0 GB,0 GB,2.3
961,1051,Toshiba,Tecra Z40-C-136,Ultrabook,14.0,8GB,Intel HD Graphics 520,Windows 10,1725.0,FHD,No,Intel,Core i7,2.6GHz,256 GB,0 GB,0 GB,0 GB,1.47
1168,762,Lenovo,Thinkpad T460,Ultrabook,14.0,4GB,Intel HD Graphics 520,Windows 10,1096.0,FHD,No,Intel,Core i5,2.3GHz,180 GB,0 GB,0 GB,0 GB,1.7
966,1238,Lenovo,Thinkpad T560,Notebook,15.6,8GB,Intel HD Graphics 520,Windows 10,1529.0,FHD,No,Intel,Core i7,2.6GHz,256 GB,0 GB,0 GB,0 GB,2.3
794,633,Mediacom,SmartBook 140,Notebook,14.0,2GB,Intel HD Graphics,Windows 10,239.0,FHD,No,Intel,Atom x5,1.44GHz,0 GB,0 GB,32 GB,0 GB,1.4
763,417,Lenovo,ThinkPad P51,Workstation,15.6,8GB,Nvidia Quadro M1200,Windows 10,1925.0,FHD,No,Intel,Core i7,2.8GHz,512 GB,0 GB,0 GB,0 GB,2.67
946,109,Lenovo,Ideapad 310-15ISK,Notebook,15.6,4GB,Intel HD Graphics 520,Windows 10,414.9,FHD,No,Intel,Core i3,2GHz,0 GB,1 TB,0 GB,0 GB,1.85
1298,473,Acer,Aspire 5,Notebook,15.6,4GB,Nvidia GeForce GTX 940MX,Windows 10,469.0,WXGA,No,Intel,Core i3,2GHz,0 GB,500 GB,0 GB,0 GB,2.2
715,1147,Asus,L403NA-GA013TS (N3350/4GB/32GB/W10),Notebook,14.0,4GB,Intel HD Graphics 500,Windows 10,278.0,WXGA,No,Intel,Celeron Dual Core,1.1GHz,0 GB,0 GB,32 GB,0 GB,1.5
762,212,Dell,XPS 13,Ultrabook,13.3,8GB,Intel UHD Graphics 620,Windows 10,1449.0,FHD,No,Intel,Core i7,1.8GHz,256 GB,0 GB,0 GB,0 GB,1.2
1101,795,MSI,GL62M (i5-7300HQ/8GB/1TB,Gaming,15.6,8GB,Nvidia GeForce GTX 1050,Windows 10,1089.0,FHD,No,Intel,Core i5,2.5GHz,128 GB,1 TB,0 GB,0 GB,2.2
994,1004,HP,EliteBook Folio,Netbook,12.5,8GB,Intel HD Graphics 515,Windows 10,1908.0,FHD,No,Intel,Core M 6Y75,1.2GHz,512 GB,0 GB,0 GB,0 GB,0.97
528,434,Dell,Latitude 5480,Ultrabook,14.0,8GB,Intel HD Graphics 620,Linux,1099.0,FHD,No,Intel,Core i7,2.8GHz,256 GB,0 GB,0 GB,0 GB,1.6
926,1219,Lenovo,IdeaPad 310-15ISK,Notebook,15.6,8GB,Nvidia GeForce 920MX,No OS,629.0,WXGA,No,Intel,Core i7,2.5GHz,0 GB,500 GB,0 GB,0 GB,2.2
791,1106,HP,250 G6,Notebook,15.6,4GB,Intel HD Graphics 520,No OS,345.99,WXGA,No,Intel,Core i3,2GHz,0 GB,1 TB,0 GB,0 GB,1.86
351,963,Acer,Chromebook 14,Notebook,14.0,4GB,Intel HD Graphics 400,Chrome OS,349.0,WXGA,No,Intel,Celeron Dual Core,1.6GHz,0 GB,0 GB,32 GB,0 GB,1.68
166,1052,Dell,Latitude E5570,Notebook,15.6,8GB,Intel HD Graphics 520,Windows 7,1062.95,FHD,No,Intel,Core i5,2.4GHz,256 GB,0 GB,0 GB,0 GB,2.09
1196,168,Acer,Aspire A315-31,Notebook,15.6,4GB,Intel HD Graphics 500,Windows 10,348.0,WXGA,No,Intel,Celeron Dual Core,1.1GHz,0 GB,1 TB,0 GB,0 GB,2.1
1056,320,Dell,Inspiron 5570,Notebook,15.6,8GB,AMD Radeon 530,Windows 10,844.0,FHD,No,Intel,Core i5,1.6GHz,128 GB,1 TB,0 GB,0 GB,2.33
909,200,Razer,Blade Pro,Gaming,17.3,32GB,Nvidia GeForce GTX 1080,Windows 10,6099.0,4K,Yes,Intel,Core i7,2.9GHz,1 TB,0 GB,0 GB,0 GB,3.49
1189,681,Lenovo,IdeaPad 320-15AST,Notebook,15.6,4GB,AMD Radeon R2 Graphics,Windows 10,349.0,WXGA,No,AMD,E-Series,2.2GHz,128 GB,0 GB,0 GB,0 GB,2.2
654,1092,MSI,GT72VR Dominator,Gaming,17.3,16GB,Nvidia GeForce GTX 1070,Windows 10,2499.0,FHD,No,Intel,Core i7,2.8GHz,256 GB,1 TB,0 GB,0 GB,3.78
968,670,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4GB,Intel HD Graphics 520,Windows 10,535.0,FHD,No,Intel,Core i5,2.3GHz,0 GB,500 GB,0 GB,0 GB,2.2
1027,1164,HP,EliteBook 820,Ultrabook,12.5,8GB,Intel HD Graphics 520,Windows 7,2296.95,FHD,No,Intel,Core i7,2.50GHz,256 GB,0 GB,0 GB,0 GB,1.26
217,759,Lenovo,N23 (N3060/4GB/128GB/W10),Netbook,11.6,4GB,Intel HD Graphics 400,Windows 10,475.0,WXGA,Yes,Intel,Celeron Dual Core,1.6GHz,128 GB,0 GB,0 GB,0 GB,1.4
1224,657,Lenovo,Thinkpad X270,Ultrabook,12.5,8GB,Intel HD Graphics 620,Windows 10,1584.0,FHD,No,Intel,Core i7,2.7GHz,256 GB,0 GB,0 GB,0 GB,1.36
559,189,Dell,Inspiron 7773,Notebook,17.3,16GB,Nvidia GeForce 150MX,Windows 10,1549.0,FHD,Yes,Intel,Core i7,1.8GHz,512 GB,0 GB,0 GB,0 GB,2.77
136,517,Dell,XPS 13,Ultrabook,13.3,8GB,Intel HD Graphics 620,Windows 10,899.0,FHD,Yes,Intel,Core i5,2.5GHz,128 GB,0 GB,0 GB,0 GB,1.29
420,198,Dell,Inspiron 5379,2 in 1 Convertible,13.3,8GB,Intel UHD Graphics 620,Windows 10,839.0,FHD,Yes,Intel,Core i7,1.8GHz,0 GB,1 TB,0 GB,0 GB,1.62
54,498,Toshiba,Portege X30-D-10L,Ultrabook,13.3,32GB,Intel HD Graphics 620,Windows 10,2799.0,FHD,Yes,Intel,Core i7,2.7GHz,512 GB,0 GB,0 GB,0 GB,1.05
788,127,Acer,Aspire 3,Notebook,15.6,4GB,AMD Radeon R5,Windows 10,451.0,WXGA,No,AMD,A9-Series,3GHz,256 GB,0 GB,0 GB,0 GB,2.1
628,765,HP,15-cb003na (i5-7300HQ/8GB/1TB,Notebook,15.6,8GB,Nvidia GeForce GTX 1050,Windows 10,1099.0,FHD,No,Intel,Core i5,2.5GHz,128 GB,1 TB,0 GB,0 GB,2.2
1215,274,Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Notebook,15.6,8GB,Intel UHD Graphics 620,Windows 10,880.0,FHD,No,Intel,Core i7,1.8GHz,256 GB,0 GB,0 GB,0 GB,2.05
396,1168,Lenovo,V110-15ISK (i3-6006U/4GB/1TB/No,Notebook,15.6,4GB,Intel HD Graphics 520,No OS,339.0,WXGA,No,Intel,Core i3,2.0GHz,0 GB,1 TB,0 GB,0 GB,1.9
1083,1320,Asus,X553SA-XX031T (N3050/4GB/500GB/W10),Notebook,15.6,4GB,Intel HD Graphics,Windows 10,369.0,WXGA,No,Intel,Celeron Dual Core,1.6GHz,0 GB,500 GB,0 GB,0 GB,2.2
20,858,HP,EliteBook x360,2 in 1 Convertible,13.3,8GB,Intel HD Graphics 620,Windows 10,2277.0,FHD,Yes,Intel,Core i5,2.5GHz,256 GB,0 GB,0 GB,0 GB,1.28
1263,94,HP,Probook 430,Notebook,13.3,16GB,Intel UHD Graphics 620,Windows 10,1197.0,FHD,No,Intel,Core i7,1.8GHz,512 GB,0 GB,0 GB,0 GB,1.49
258,908,Dell,Inspiron 7567,Gaming,15.6,8GB,Nvidia GeForce GTX 1050Ti,Linux,929.0,FHD,No,Intel,Core i7,2.8GHz,0 GB,1 TB,0 GB,0 GB,2.62
159,950,Dell,Vostro 3568,Notebook,15.6,4GB,Intel HD Graphics 520,Windows 10,558.6,WXGA,No,Intel,Core i3,2.0GHz,0 GB,1 TB,0 GB,0 GB,2.18
572,959,Lenovo,IdeaPad Y700-15ACZ,Gaming,15.6,16GB,AMD Radeon R9 M385,Windows 10,999.0,FHD,No,AMD,FX 8800,2.1GHz,512 GB,1 TB,0 GB,0 GB,2.5
374,538,Toshiba,Satellite Pro,Notebook,15.6,8GB,Intel HD Graphics 620,Windows 10,860.0,FHD,No,Intel,Core i5,2.5GHz,0 GB,500 GB,0 GB,0 GB,2.0
25,1142,HP,EliteBook 820,Ultrabook,12.5,8GB,Intel HD Graphics 520,Windows 7,1895.0,WXGA,No,Intel,Core i5,2.4GHz,256 GB,0 GB,0 GB,0 GB,1.26
345,796,Lenovo,Legion Y520-15IKBN,Gaming,15.6,4GB,Nvidia GeForce GTX 1050,Windows 10,999.0,FHD,No,Intel,Core i7,2.8GHz,0 GB,1 TB,0 GB,0 GB,2.4
827,813,Dell,Latitude 3180,Netbook,11.6,4GB,Intel HD Graphics 505,Windows 10,744.0,WXGA,No,Intel,Pentium Quad Core,1.1GHz,128 GB,0 GB,0 GB,0 GB,1.63
661,525,HP,Probook 450,Notebook,15.6,8GB,Nvidia GeForce 930MX,Windows 10,889.0,FHD,No,Intel,Core i5,2.5GHz,256 GB,0 GB,0 GB,0 GB,2.04
102,603,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,8GB,Intel HD Graphics 620,Windows 10,2025.0,FHD,Yes,Intel,Core i7,2.7GHz,512 GB,0 GB,0 GB,0 GB,1.37
185,596,Asus,ROG Strix,Gaming,17.3,8GB,Nvidia GeForce GTX 1060,Windows 10,1770.0,FHD,No,Intel,Core i5,2.5GHz,128 GB,1 TB,0 GB,0 GB,2.73
69,233,Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,8GB,Nvidia GeForce GTX 950M,Windows 10,891.0,FHD,No,Intel,Core i5,2.5GHz,256 GB,500 GB,0 GB,0 GB,2.69
327,169,MSI,GE63VR 7RE,Gaming,15.6,16GB,Nvidia GeForce GTX 1060,Windows 10,1799.0,FHD,No,Intel,Core i7,2.8GHz,256 GB,1 TB,0 GB,0 GB,2.4
439,899,Acer,Chromebook C731-C78G,Netbook,11.6,4GB,Intel HD Graphics 400,Chrome OS,297.0,WXGA,No,Intel,Celeron Dual Core,1.6GHz,0 GB,0 GB,32 GB,0 GB,1.25
662,263,MSI,GT73EVR 7RE,Gaming,17.3,16GB,Nvidia GeForce GTX 1070,Windows 10,2499.0,FHD,No,Intel,Core i7,2.8GHz,512 GB,1 TB,0 GB,0 GB,4.14
799,242,Asus,X555QG-DM242T (A10-9620P/4GB/1TB,Notebook,15.6,4GB,AMD Radeon R5 M430,Windows 10,575.0,FHD,No,AMD,A10-Series,2.5GHz,128 GB,1 TB,0 GB,0 GB,2.2
555,267,HP,ProBook 450,Notebook,15.6,4GB,Intel HD Graphics 620,Windows 10,722.0,FHD,No,Intel,Core i5,1.6GHz,0 GB,500 GB,0 GB,0 GB,2.1
40,781,Toshiba,Tecra A40-C-1E5,Notebook,14.0,4GB,Intel HD Graphics 520,Windows 10,1020.0,WXGA,No,Intel,Core i5,2.3GHz,128 GB,0 GB,0 GB,0 GB,1.75
1110,1289,Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,16GB,Intel HD Graphics 520,Windows 10,1499.0,IPS,Yes,Intel,Core i7,2.5GHz,512 GB,0 GB,0 GB,0 GB,1.3
998,375,HP,Elitebook 1040,Ultrabook,14.0,8GB,Intel HD Graphics 620,Windows 10,1750.0,FHD,No,Intel,Core i7,2.7GHz,256 GB,0 GB,0 GB,0 GB,1.36
500,1121,MSI,GE72 Apache,Gaming,17.3,8GB,Nvidia GeForce GTX 960M,Windows 10,1511.19,FHD,No,Intel,Core i7,2.6GHz,128 GB,1 TB,0 GB,0 GB,2.9
734,644,Dell,XPS 13,Ultrabook,13.3,8GB,Intel UHD Graphics 620,Windows 10,1869.0,IPS,Yes,Intel,Core i5,1.6GHz,256 GB,0 GB,0 GB,0 GB,1.23
974,484,Lenovo,Thinkpad T470,Notebook,14.0,8GB,Intel HD Graphics 620,Windows 10,1364.0,FHD,No,Intel,Core i5,2.5GHz,180 GB,0 GB,0 GB,0 GB,1.7
117,896,HP,EliteBook x360,2 in 1 Convertible,13.3,4GB,Intel HD Graphics 620,Windows 10,1799.0,FHD,Yes,Intel,Core i5,2.5GHz,256 GB,0 GB,0 GB,0 GB,1.28
392,1030,HP,ProBook 450,Notebook,15.6,4GB,Intel HD Graphics 620,Windows 10,769.99,WXGA,No,Intel,Core i3,2.4GHz,256 GB,0 GB,0 GB,0 GB,2.04
1060,520,Dell,Inspiron 5570,Notebook,15.6,16GB,AMD Radeon 530,Windows 10,1219.24,FHD,No,Intel,Core i7,1.8GHz,256 GB,2 TB,0 GB,0 GB,2.2
613,810,Asus,Pro P2540UA-XS51,Notebook,15.6,8GB,Intel HD Graphics 620,Windows 10,1099.0,FHD,No,Intel,Core i5,2.5GHz,256 GB,0 GB,0 GB,0 GB,2.37
711,119,HP,Probook 440,Notebook,14.0,8GB,Intel UHD Graphics 620,Windows 10,1084.0,FHD,No,Intel,Core i7,1.8GHz,512 GB,0 GB,0 GB,0 GB,1.63
1245,1016,Dell,Vostro 3568,Notebook,15.6,4GB,Intel HD Graphics 620,Windows 10,547.0,WXGA,No,Intel,Core i3,2.4GHz,128 GB,0 GB,0 GB,0 GB,2.18
639,412,Asus,Zenbook 3,Ultrabook,14.0,8GB,Intel HD Graphics 620,Windows 10,1873.0,FHD,No,Intel,Core i7,2.7GHz,512 GB,0 GB,0 GB,0 GB,1.1
9,165,Acer,Aspire A517-51G,Notebook,17.3,4GB,Nvidia GeForce MX150,Windows 10,805.0,FHD,No,Intel,Core i5,1.6GHz,256 GB,0 GB,0 GB,0 GB,3.0
1213,712,Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,Notebook,15.6,4GB,Intel HD Graphics 520,No OS,450.0,WXGA,No,Intel,Core i3,2GHz,0 GB,500 GB,0 GB,0 GB,1.9
535,432,Dell,Inspiron 7577,Gaming,15.6,8GB,Nvidia GeForce GTX 1050 Ti,Windows 10,1159.0,FHD,No,Intel,Core i7,2.8GHz,128 GB,1 TB,0 GB,0 GB,2.62
155,1206,Dell,XPS 13,Ultrabook,13.3,8GB,Intel HD Graphics 520,Linux,1099.0,IPS,Yes,Intel,Core i5,2.4GHz,256 GB,0 GB,0 GB,0 GB,1.23
1074,561,HP,ProBook 470,Notebook,17.3,8GB,Nvidia GeForce 930MX,Windows 10,1280.0,FHD,No,Intel,Core i7,2.7GHz,0 GB,1 TB,0 GB,0 GB,2.63
472,599,Dell,Inspiron 3179,2 in 1 Convertible,11.6,4GB,Intel HD Graphics 615,Windows 10,603.0,WXGA,Yes,Intel,Core M 7Y30,1.0GHz,128 GB,0 GB,0 GB,0 GB,1.39
47,601,Lenovo,V320-17ISK (i3-6006U/4GB/500GB/FHD/No,Notebook,17.3,4GB,Intel HD Graphics 520,No OS,529.0,FHD,No,Intel,Core i3,2GHz,0 GB,500 GB,0 GB,0 GB,2.8
5,132,HP,ProBook 470,Notebook,17.3,8GB,Intel UHD Graphics 620,Windows 10,928.0,FHD,No,Intel,Core i5,1.6GHz,256 GB,0 GB,0 GB,0 GB,2.5
466,1139,Asus,VivoBook Max,Notebook,15.6,4GB,Intel HD Graphics 620,Windows 10,435.0,WXGA,No,Intel,Core i3,2.4GHz,0 GB,1 TB,0 GB,0 GB,2.0
712,129,HP,Probook 440,Notebook,14.0,8GB,Intel UHD Graphics 620,Windows 10,812.0,FHD,No,Intel,Core i5,1.6GHz,0 GB,1 TB,0 GB,0 GB,1.63
212,838,Acer,Swift 3,Notebook,14.0,8GB,Intel HD Graphics 620,Windows 10,619.0,FHD,No,Intel,Core i3,2.4GHz,128 GB,0 GB,0 GB,0 GB,1.5
