id,laptop_ID,Company,Inches,Price_euros,Pantalla,Touchscreen,Marca_Procesador,Modelo_Procesador,Categoria_Peso,Velocidad_Procesador_GHz,S.O,Ram_GB,Tipo_Portatil,Nombre_Producto,Total_Almacenamiento,Marca_GPU,Modelo_GPU,Tipo_GPU
763,417,Lenovo,15.6,1925.0,FHD,No,Intel,Core i7,Pesado,2.8,Windows 10,8,Workstation,ThinkPad P51,2048.0,Nvidia,M1200,Quadro
946,109,Lenovo,15.6,414.9,FHD,No,Intel,Core i3,Medio,2.0,Windows 10,4,Notebook,Ideapad 310-15ISK,2048.0,Intel,520,HD Graphics
1298,473,Acer,15.6,469.0,WXGA,No,Intel,Core i3,Medio,2.0,Windows 10,4,Notebook,Aspire 5,1000.0,Nvidia,GTX 940MX,GeForce
715,1147,Asus,14.0,278.0,WXGA,No,Intel,Celeron Dual Core,Medio,1.1,Windows 10,4,Notebook,L403NA-GA013TS,32.0,Intel,500,HD Graphics
762,212,Dell,13.3,1449.0,FHD,No,Intel,Core i7,Ligero,1.8,Windows 10,8,Ultrabook,XPS 13,1024.0,Intel,620,UHD Graphics
1101,795,MSI,15.6,1089.0,FHD,No,Intel,Core i5,Medio,2.5,Windows 10,8,Gaming,GL62M,2560.0,Nvidia,GTX 1050,GeForce
994,1004,HP,12.5,1908.0,FHD,No,Intel,Core M 6Y75,Ligero,1.2,Windows 10,8,Netbook,EliteBook Folio,2048.0,Intel,515,HD Graphics
528,434,Dell,14.0,1099.0,FHD,No,Intel,Core i7,Medio,2.8,Linux,8,Ultrabook,Latitude 5480,1024.0,Intel,620,HD Graphics
926,1219,Lenovo,15.6,629.0,WXGA,No,Intel,Core i7,Medio,2.5,No OS,8,Notebook,IdeaPad 310-15ISK,1000.0,Nvidia,920MX,GeForce
791,1106,HP,15.6,345.99,WXGA,No,Intel,Core i3,Medio,2.0,No OS,4,Notebook,250 G6,2048.0,Intel,520,HD Graphics
351,963,Acer,14.0,349.0,WXGA,No,Intel,Celeron Dual Core,Medio,1.6,Chrome OS,4,Notebook,Chromebook 14,32.0,Intel,400,HD Graphics
166,1052,Dell,15.6,1062.95,FHD,No,Intel,Core i5,Medio,2.4,Windows 7,8,Notebook,Latitude E5570,1024.0,Intel,520,HD Graphics
1196,168,Acer,15.6,348.0,WXGA,No,Intel,Celeron Dual Core,Medio,1.1,Windows 10,4,Notebook,Aspire A315-31,2048.0,Intel,500,HD Graphics
1056,320,Dell,15.6,844.0,FHD,No,Intel,Core i5,Medio,1.6,Windows 10,8,Notebook,Inspiron 5570,2560.0,AMD,530,Radeon
909,200,Razer,17.3,6099.0,4K,Yes,Intel,Core i7,Pesado,2.9,Windows 10,32,Gaming,Blade Pro,4096.0,Nvidia,GTX 1080,GeForce
1189,681,Lenovo,15.6,349.0,WXGA,No,AMD,E-Series,Medio,2.2,Windows 10,4,Notebook,IdeaPad 320-15AST,512.0,AMD,R2 Graphics,Radeon
654,1092,MSI,17.3,2499.0,FHD,No,Intel,Core i7,Pesado,2.8,Windows 10,16,Gaming,GT72VR Dominator,3072.0,Nvidia,GTX 1070,GeForce
968,670,Lenovo,15.6,535.0,FHD,No,Intel,Core i5,Medio,2.3,Windows 10,4,Notebook,IdeaPad 320-15ISK,1000.0,Intel,520,HD Graphics
1027,1164,HP,12.5,2296.95,FHD,No,Intel,Core i7,Ligero,2.5,Windows 7,8,Ultrabook,EliteBook 820,1024.0,Intel,520,HD Graphics
217,759,Lenovo,11.6,475.0,WXGA,Yes,Intel,Celeron Dual Core,Ligero,1.6,Windows 10,4,Netbook,N23,512.0,Intel,400,HD Graphics
1224,657,Lenovo,12.5,1584.0,FHD,No,Intel,Core i7,Ligero,2.7,Windows 10,8,Ultrabook,Thinkpad X270,1024.0,Intel,620,HD Graphics
559,189,Dell,17.3,1549.0,FHD,Yes,Intel,Core i7,Pesado,1.8,Windows 10,16,Notebook,Inspiron 7773,2048.0,Nvidia,150MX,GeForce
136,517,Dell,13.3,899.0,FHD,Yes,Intel,Core i5,Ligero,2.5,Windows 10,8,Ultrabook,XPS 13,512.0,Intel,620,HD Graphics
420,198,Dell,13.3,839.0,FHD,Yes,Intel,Core i7,Medio,1.8,Windows 10,8,Convertible,Inspiron 5379,2048.0,Intel,620,UHD Graphics
54,498,Toshiba,13.3,2799.0,FHD,Yes,Intel,Core i7,Ligero,2.7,Windows 10,32,Ultrabook,Portege X30-D-10L,2048.0,Intel,620,HD Graphics
788,127,Acer,15.6,451.0,WXGA,No,AMD,A9-Series,Medio,3.0,Windows 10,4,Notebook,Aspire 3,1024.0,AMD,R5,Radeon
628,765,HP,15.6,1099.0,FHD,No,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,15-cb003na,2560.0,Nvidia,GTX 1050,GeForce
1215,274,Lenovo,15.6,880.0,FHD,No,Intel,Core i7,Medio,1.8,Windows 10,8,Notebook,V330-15IKB,1024.0,Intel,620,UHD Graphics
396,1168,Lenovo,15.6,339.0,WXGA,No,Intel,Core i3,Medio,2.0,No OS,4,Notebook,V110-15ISK,2048.0,Intel,520,HD Graphics
1083,1320,Asus,15.6,369.0,WXGA,No,Intel,Celeron Dual Core,Medio,1.6,Windows 10,4,Notebook,X553SA-XX031T,1000.0,Intel,Otro,HD Graphics
20,858,HP,13.3,2277.0,FHD,Yes,Intel,Core i5,Ligero,2.5,Windows 10,8,Convertible,EliteBook x360,1024.0,Intel,620,HD Graphics
1263,94,HP,13.3,1197.0,FHD,No,Intel,Core i7,Ligero,1.8,Windows 10,16,Notebook,Probook 430,2048.0,Intel,620,UHD Graphics
258,908,Dell,15.6,929.0,FHD,No,Intel,Core i7,Pesado,2.8,Linux,8,Gaming,Inspiron 7567,2048.0,Nvidia,GTX 1050Ti,GeForce
159,950,Dell,15.6,558.6,WXGA,No,Intel,Core i3,Medio,2.0,Windows 10,4,Notebook,Vostro 3568,2048.0,Intel,520,HD Graphics
572,959,Lenovo,15.6,999.0,FHD,No,AMD,FX 8800,Medio,2.1,Windows 10,16,Gaming,IdeaPad Y700-15ACZ,4096.0,AMD,R9 M385,Radeon
374,538,Toshiba,15.6,860.0,FHD,No,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,Satellite Pro,1000.0,Intel,620,HD Graphics
25,1142,HP,12.5,1895.0,WXGA,No,Intel,Core i5,Ligero,2.4,Windows 7,8,Ultrabook,EliteBook 820,1024.0,Intel,520,HD Graphics
345,796,Lenovo,15.6,999.0,FHD,No,Intel,Core i7,Medio,2.8,Windows 10,4,Gaming,Legion Y520-15IKBN,2048.0,Nvidia,GTX 1050,GeForce
827,813,Dell,11.6,744.0,WXGA,No,Intel,Pentium Quad Core,Medio,1.1,Windows 10,4,Netbook,Latitude 3180,512.0,Intel,505,HD Graphics
661,525,HP,15.6,889.0,FHD,No,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,Probook 450,1024.0,Nvidia,930MX,GeForce
102,603,Lenovo,13.3,2025.0,FHD,Yes,Intel,Core i7,Ligero,2.7,Windows 10,8,Convertible,ThinkPad Yoga,2048.0,Intel,620,HD Graphics
185,596,Asus,17.3,1770.0,FHD,No,Intel,Core i5,Pesado,2.5,Windows 10,8,Gaming,ROG Strix,2560.0,Nvidia,GTX 1060,GeForce
69,233,Asus,17.3,891.0,FHD,No,Intel,Core i5,Pesado,2.5,Windows 10,8,Notebook,K756UX-T4340T,2024.0,Nvidia,GTX 950M,GeForce
327,169,MSI,15.6,1799.0,FHD,No,Intel,Core i7,Medio,2.8,Windows 10,16,Gaming,GE63VR 7RE,3072.0,Nvidia,GTX 1060,GeForce
439,899,Acer,11.6,297.0,WXGA,No,Intel,Celeron Dual Core,Ligero,1.6,Chrome OS,4,Netbook,Chromebook C731-C78G,32.0,Intel,400,HD Graphics
662,263,MSI,17.3,2499.0,FHD,No,Intel,Core i7,Pesado,2.8,Windows 10,16,Gaming,GT73EVR 7RE,4096.0,Nvidia,GTX 1070,GeForce
799,242,Asus,15.6,575.0,FHD,No,AMD,A10-Series,Medio,2.5,Windows 10,4,Notebook,X555QG-DM242T,2560.0,AMD,R5 M430,Radeon
555,267,HP,15.6,722.0,FHD,No,Intel,Core i5,Medio,1.6,Windows 10,4,Notebook,ProBook 450,1000.0,Intel,620,HD Graphics
40,781,Toshiba,14.0,1020.0,WXGA,No,Intel,Core i5,Medio,2.3,Windows 10,4,Notebook,Tecra A40-C-1E5,512.0,Intel,520,HD Graphics
1110,1289,Lenovo,13.3,1499.0,IPS,Yes,Intel,Core i7,Ligero,2.5,Windows 10,16,Convertible,Yoga 900-13ISK,2048.0,Intel,520,HD Graphics
998,375,HP,14.0,1750.0,FHD,No,Intel,Core i7,Ligero,2.7,Windows 10,8,Ultrabook,Elitebook 1040,1024.0,Intel,620,HD Graphics
500,1121,MSI,17.3,1511.19,FHD,No,Intel,Core i7,Pesado,2.6,Windows 10,8,Gaming,GE72 Apache,2560.0,Nvidia,GTX 960M,GeForce
734,644,Dell,13.3,1869.0,IPS,Yes,Intel,Core i5,Ligero,1.6,Windows 10,8,Ultrabook,XPS 13,1024.0,Intel,620,UHD Graphics
974,484,Lenovo,14.0,1364.0,FHD,No,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,Thinkpad T470,720.0,Intel,620,HD Graphics
117,896,HP,13.3,1799.0,FHD,Yes,Intel,Core i5,Ligero,2.5,Windows 10,4,Convertible,EliteBook x360,1024.0,Intel,620,HD Graphics
392,1030,HP,15.6,769.99,WXGA,No,Intel,Core i3,Medio,2.4,Windows 10,4,Notebook,ProBook 450,1024.0,Intel,620,HD Graphics
1060,520,Dell,15.6,1219.24,FHD,No,Intel,Core i7,Medio,1.8,Windows 10,16,Notebook,Inspiron 5570,5120.0,AMD,530,Radeon
613,810,Asus,15.6,1099.0,FHD,No,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,Pro P2540UA-XS51,1024.0,Intel,620,HD Graphics
711,119,HP,14.0,1084.0,FHD,No,Intel,Core i7,Medio,1.8,Windows 10,8,Notebook,Probook 440,2048.0,Intel,620,UHD Graphics
1245,1016,Dell,15.6,547.0,WXGA,No,Intel,Core i3,Medio,2.4,Windows 10,4,Notebook,Vostro 3568,512.0,Intel,620,HD Graphics
639,412,Asus,14.0,1873.0,FHD,No,Intel,Core i7,Ligero,2.7,Windows 10,8,Ultrabook,Zenbook 3,2048.0,Intel,620,HD Graphics
9,165,Acer,17.3,805.0,FHD,No,Intel,Core i5,Pesado,1.6,Windows 10,4,Notebook,Aspire A517-51G,1024.0,Nvidia,MX150,GeForce
1213,712,Lenovo,15.6,450.0,WXGA,No,Intel,Core i3,Medio,2.0,No OS,4,Notebook,V310-15ISK,1000.0,Intel,520,HD Graphics
535,432,Dell,15.6,1159.0,FHD,No,Intel,Core i7,Pesado,2.8,Windows 10,8,Gaming,Inspiron 7577,2560.0,Nvidia,GTX 1050 Ti,GeForce
155,1206,Dell,13.3,1099.0,IPS,Yes,Intel,Core i5,Ligero,2.4,Linux,8,Ultrabook,XPS 13,1024.0,Intel,520,HD Graphics
1074,561,HP,17.3,1280.0,FHD,No,Intel,Core i7,Pesado,2.7,Windows 10,8,Notebook,ProBook 470,2048.0,Nvidia,930MX,GeForce
472,599,Dell,11.6,603.0,WXGA,Yes,Intel,Core M 7Y30,Ligero,1.0,Windows 10,4,Convertible,Inspiron 3179,512.0,Intel,615,HD Graphics
47,601,Lenovo,17.3,529.0,FHD,No,Intel,Core i3,Pesado,2.0,No OS,4,Notebook,V320-17ISK,1000.0,Intel,520,HD Graphics
5,132,HP,17.3,928.0,FHD,No,Intel,Core i5,Medio,1.6,Windows 10,8,Notebook,ProBook 470,1024.0,Intel,620,UHD Graphics
466,1139,Asus,15.6,435.0,WXGA,No,Intel,Core i3,Medio,2.4,Windows 10,4,Notebook,VivoBook Max,2048.0,Intel,620,HD Graphics
712,129,HP,14.0,812.0,FHD,No,Intel,Core i5,Medio,1.6,Windows 10,8,Notebook,Probook 440,2048.0,Intel,620,UHD Graphics
212,838,Acer,14.0,619.0,FHD,No,Intel,Core i3,Medio,2.4,Windows 10,8,Notebook,Swift 3,512.0,Intel,620,HD Graphics
1067,3,HP,15.6,575.0,FHD,No,Intel,Core i5,Medio,2.5,No OS,8,Notebook,250 G6,1024.0,Intel,620,HD Graphics
785,371,HP,15.6,389.0,WXGA,No,Intel,Pentium Quad Core,Medio,1.6,Windows 10,8,Notebook,15-AY023na,4096.0,Intel,405,HD Graphics
332,806,Dell,15.6,810.0,WXGA,No,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,Latitude 3580,512.0,Intel,620,HD Graphics
1199,625,MSI,15.6,2267.86,FHD,No,Intel,Core i7,Pesado,2.8,Windows 10,16,Gaming,GT62VR 7RE,3072.0,Nvidia,GTX 1070,GeForce
412,298,Dell,15.6,1829.0,FHD,No,Intel,Core i7,Medio,2.8,Windows 10,8,Notebook,XPS 15,1024.0,Nvidia,GTX 1050,GeForce
200,424,HP,14.0,1500.0,FHD,No,Intel,Core i7,Ligero,2.5,Windows 10,8,Ultrabook,EliteBook 1040,1024.0,Intel,520,HD Graphics
509,337,Toshiba,15.6,943.0,FHD,No,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,Satellite Pro,1024.0,Intel,620,HD Graphics
411,1247,MSI,15.6,1149.0,FHD,No,Intel,Core i7,Medio,2.8,Windows 10,8,Gaming,GL62M 7RDX,2560.0,Nvidia,GTX 1050,GeForce
627,878,Lenovo,13.3,1950.0,FHD,Yes,Intel,Core i7,Ligero,2.7,Windows 10,8,Convertible,ThinkPad Yoga,1024.0,Intel,620,HD Graphics
1088,347,Lenovo,15.6,899.0,FHD,No,AMD,A12-Series,Medio,3.6,Windows 10,12,Notebook,IdeaPad 320-15ABR,4096.0,AMD,530,Radeon
881,939,Dell,15.6,729.9,WXGA,No,Intel,Core i5,Medio,2.3,Windows 10,4,Notebook,Latitude 3580,1000.0,Intel,520,HD Graphics
914,984,Dell,13.3,1899.0,IPS,Yes,Intel,Core i7,Ligero,1.3,Windows 10,16,Convertible,XPS 13,2048.0,Intel,615,HD Graphics
690,187,Toshiba,15.6,793.0,WXGA,No,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,Satellite Pro,512.0,Intel,620,HD Graphics
111,478,HP,15.6,1154.0,FHD,No,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,ZBook 15u,1000.0,AMD,W4190M,FirePro
26,989,HP,15.6,979.0,FHD,No,Intel,Core i5,Medio,2.7,Windows 10,8,Notebook,Probook 450,2560.0,Nvidia,930MX,GeForce
375,559,Dell,17.3,2699.0,FHD,No,Intel,Core i7,Pesado,2.8,Windows 10,16,Gaming,Alienware 17,3072.0,Nvidia,GTX 1070,GeForce
289,1213,HP,15.6,1327.0,FHD,No,Intel,Core i7,Medio,2.8,Windows 10,12,Notebook,Pavilion Power,2560.0,Nvidia,GTX 1050,GeForce
1007,142,HP,13.3,699.0,FHD,No,Intel,Core i5,Ligero,2.5,Windows 10,4,Notebook,Envy 13-AD007nv,1024.0,Intel,620,HD Graphics
476,1141,Lenovo,10.1,479.0,IPS,Yes,Intel,Atom x5,Ligero,1.44,Windows 10,4,Convertible,Yoga Book,64.0,Intel,400,HD Graphics
475,64,Asus,14.0,941.0,FHD,No,Intel,Core i5,Ligero,1.6,Windows 10,8,Notebook,UX410UA-GV350T,1024.0,Intel,620,UHD Graphics
125,410,Acer,15.6,879.0,FHD,No,Intel,Core i7,Medio,2.8,Linux,8,Notebook,Aspire 7,1024.0,Nvidia,GTX 1050,GeForce
1154,859,HP,14.0,1468.0,FHD,No,Intel,Core i7,Medio,2.5,Windows 10,8,Ultrabook,EliteBook 840,2048.0,Intel,520,HD Graphics
1184,359,HP,15.6,1738.27,FHD,No,Intel,Core i7,Pesado,2.8,Windows 10,8,Workstation,Zbook 15,1024.0,Nvidia,M1200,Quadro
322,574,Fujitsu,15.6,739.0,WXGA,No,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,Lifebook A557,2048.0,Intel,620,HD Graphics
280,885,Samsung,15.0,1849.0,FHD,No,Intel,Core i7,Ligero,2.7,Windows 10,16,Ultrabook,Notebook 9,1024.0,Nvidia,940MX,GeForce
63,125,Lenovo,15.6,629.0,FHD,No,Intel,Core i5,Medio,2.5,No OS,8,Notebook,IdeaPad 320-15IKBN,1024.0,Nvidia,940MX,GeForce
547,862,Asus,15.6,1899.0,FHD,No,Intel,Core i7,Medio,2.8,Windows 10,16,Gaming,Rog GL502VM-DS74,2560.0,Nvidia,GTX 1060,GeForce
1293,322,Lenovo,13.3,459.9,WXGA,No,Intel,Celeron Dual Core,Ligero,1.6,Chrome OS,4,Notebook,ThinkPad 13,16.0,Intel,510,HD Graphics
536,241,Acer,15.6,390.0,WXGA,No,Intel,Core i3,Medio,2.0,Linux,4,Notebook,Aspire A315-51,2048.0,Intel,520,HD Graphics
687,155,Lenovo,15.6,498.0,WXGA,No,Intel,Core i5,Medio,2.5,Windows 10,4,Notebook,V110-15IKB,512.0,Intel,620,HD Graphics
1023,98,Dell,15.6,599.9,FHD,No,Intel,Core i7,Medio,2.7,Linux,8,Notebook,Inspiron 3567,2048.0,AMD,R5 M430,Radeon
210,1123,HP,15.6,398.0,FHD,No,AMD,A6-Series,Medio,2.5,Windows 10,4,Notebook,15-bw011nv,2048.0,AMD,R4,Radeon
657,588,Dell,15.6,1008.52,WXGA,No,Intel,Core i5,Medio,2.6,Windows 10,8,Notebook,Latitude 5580,1000.0,Intel,620,HD Graphics
671,388,Asus,15.6,1655.0,FHD,No,Intel,Core i7,Medio,2.8,Windows 10,8,Gaming,ROG Strix,2560.0,Nvidia,GTX 1060,GeForce
