id,laptop_ID,Company,Gpu,Price_euros,Pantalla,Marca_Procesador,Modelo_Procesador,Categoria_Peso,Velocidad_Procesador_GHz,S.O,Ram_GB,Tipo_Portatil,Nombre_Producto,Total_Almacenamiento
899,37,Acer,Intel HD Graphics 620,367.0,WXGA,Intel,Core i3,Medio,2.7,Linux,4,Notebook,Aspire 3,2048.0
313,333,Asus,Nvidia GeForce 940MX,1049.9,FHD,Intel,Core i7,Medio,2.7,Windows 10,8,Ultrabook,VivoBook S15,1024.0
1063,933,MSI,Nvidia GeForce GTX 1050,1119.91,FHD,Intel,Core i5,Medio,2.5,Windows 10,8,Gaming,GL62M 7RD,2560.0
193,1066,Dell,Intel HD Graphics 620,1094.0,FHD,Intel,Core i5,Medio,2.7,Windows 10,8,Convertible,Inspiron 5578,1024.0
625,25,HP,Intel HD Graphics 620,659.0,FHD,Intel,Core i7,Medio,1.8,Windows 10,8,Ultrabook,15-BS101nv,1024.0
142,429,HP,Intel HD Graphics 630,1427.0,FHD,Intel,Core i7,Medio,2.9,Windows 10,8,Notebook,ProBook 650,1024.0
243,685,HP,Intel HD Graphics 500,495.0,WXGA,Intel,Celeron Dual Core,Ligero,1.1,Chrome OS,8,Convertible,Chromebook X360,64.0
1214,341,HP,Intel HD Graphics 620,1268.0,FHD,Intel,Core i5,Ligero,2.6,Windows 10,8,Notebook,EliteBook 840,1024.0
1047,26,Dell,Intel HD Graphics 520,418.64,WXGA,Intel,Core i3,Medio,2.0,Windows 10,4,Notebook,Inspiron 3567,2048.0
648,882,Lenovo,AMD Radeon R5 M430,479.0,FHD,Intel,Core i3,Medio,2.0,No OS,4,Notebook,IdeaPad 110-15ISK,2048.0
34,7,Apple,Intel Iris Pro Graphics,2139.97,IPS,Intel,Core i7,Medio,2.2,Mac OS X,16,Ultrabook,MacBook Pro,256.0
804,1100,HP,Intel HD Graphics 520,1030.99,FHD,Intel,Core i5,Medio,2.3,Windows 7,4,Notebook,EliteBook 840,1000.0
872,555,HP,Intel HD Graphics 520,397.0,FHD,Intel,Core i3,Medio,2.0,Windows 10,4,Notebook,250 G6,1000.0
1297,1166,HP,Intel HD Graphics 520,1579.0,FHD,Intel,Core i5,Medio,2.3,Windows 7,8,Notebook,EliteBook 850,1024.0
192,720,Dell,Intel HD Graphics 620,726.0,FHD,Intel,Core i5,Medio,2.5,Linux,8,Notebook,Vostro 5568,2048.0
451,443,HP,Intel HD Graphics 400,347.0,WXGA,Intel,Celeron Dual Core,Medio,1.6,Windows 10,4,Notebook,15-ra044nv,1000.0
894,997,Fujitsu,Intel HD Graphics 520,649.0,WXGA,Intel,Core i5,Medio,2.3,Windows 10,4,Notebook,LifeBook A556,1024.0
961,1051,Toshiba,Intel HD Graphics 520,1725.0,FHD,Intel,Core i7,Ligero,2.6,Windows 10,8,Ultrabook,Tecra Z40-C-136,1024.0
1168,762,Lenovo,Intel HD Graphics 520,1096.0,FHD,Intel,Core i5,Medio,2.3,Windows 10,4,Ultrabook,Thinkpad T460,720.0
966,1238,Lenovo,Intel HD Graphics 520,1529.0,FHD,Intel,Core i7,Medio,2.6,Windows 10,8,Notebook,Thinkpad T560,1024.0
794,633,Mediacom,Intel HD Graphics,239.0,FHD,Intel,Atom x5,Ligero,1.44,Windows 10,2,Notebook,SmartBook 140,32.0
763,417,Lenovo,Nvidia Quadro M1200,1925.0,FHD,Intel,Core i7,Pesado,2.8,Windows 10,8,Workstation,ThinkPad P51,2048.0
946,109,Lenovo,Intel HD Graphics 520,414.9,FHD,Intel,Core i3,Medio,2.0,Windows 10,4,Notebook,Ideapad 310-15ISK,2048.0
1298,473,Acer,Nvidia GeForce GTX 940MX,469.0,WXGA,Intel,Core i3,Medio,2.0,Windows 10,4,Notebook,Aspire 5,1000.0
715,1147,Asus,Intel HD Graphics 500,278.0,WXGA,Intel,Celeron Dual Core,Medio,1.1,Windows 10,4,Notebook,L403NA-GA013TS,32.0
762,212,Dell,Intel UHD Graphics 620,1449.0,FHD,Intel,Core i7,Ligero,1.8,Windows 10,8,Ultrabook,XPS 13,1024.0
1101,795,MSI,Nvidia GeForce GTX 1050,1089.0,FHD,Intel,Core i5,Medio,2.5,Windows 10,8,Gaming,GL62M,2560.0
994,1004,HP,Intel HD Graphics 515,1908.0,FHD,Intel,Core M 6Y75,Ligero,1.2,Windows 10,8,Netbook,EliteBook Folio,2048.0
528,434,Dell,Intel HD Graphics 620,1099.0,FHD,Intel,Core i7,Medio,2.8,Linux,8,Ultrabook,Latitude 5480,1024.0
926,1219,Lenovo,Nvidia GeForce 920MX,629.0,WXGA,Intel,Core i7,Medio,2.5,No OS,8,Notebook,IdeaPad 310-15ISK,1000.0
791,1106,HP,Intel HD Graphics 520,345.99,WXGA,Intel,Core i3,Medio,2.0,No OS,4,Notebook,250 G6,2048.0
351,963,Acer,Intel HD Graphics 400,349.0,WXGA,Intel,Celeron Dual Core,Medio,1.6,Chrome OS,4,Notebook,Chromebook 14,32.0
166,1052,Dell,Intel HD Graphics 520,1062.95,FHD,Intel,Core i5,Medio,2.4,Windows 7,8,Notebook,Latitude E5570,1024.0
1196,168,Acer,Intel HD Graphics 500,348.0,WXGA,Intel,Celeron Dual Core,Medio,1.1,Windows 10,4,Notebook,Aspire A315-31,2048.0
1056,320,Dell,AMD Radeon 530,844.0,FHD,Intel,Core i5,Medio,1.6,Windows 10,8,Notebook,Inspiron 5570,2560.0
909,200,Razer,Nvidia GeForce GTX 1080,6099.0,4K,Intel,Core i7,Pesado,2.9,Windows 10,32,Gaming,Blade Pro,4096.0
1189,681,Lenovo,AMD Radeon R2 Graphics,349.0,WXGA,AMD,E-Series,Medio,2.2,Windows 10,4,Notebook,IdeaPad 320-15AST,512.0
654,1092,MSI,Nvidia GeForce GTX 1070,2499.0,FHD,Intel,Core i7,Pesado,2.8,Windows 10,16,Gaming,GT72VR Dominator,3072.0
968,670,Lenovo,Intel HD Graphics 520,535.0,FHD,Intel,Core i5,Medio,2.3,Windows 10,4,Notebook,IdeaPad 320-15ISK,1000.0
1027,1164,HP,Intel HD Graphics 520,2296.95,FHD,Intel,Core i7,Ligero,2.5,Windows 7,8,Ultrabook,EliteBook 820,1024.0
217,759,Lenovo,Intel HD Graphics 400,475.0,WXGA,Intel,Celeron Dual Core,Ligero,1.6,Windows 10,4,Netbook,N23,512.0
1224,657,Lenovo,Intel HD Graphics 620,1584.0,FHD,Intel,Core i7,Ligero,2.7,Windows 10,8,Ultrabook,Thinkpad X270,1024.0
559,189,Dell,Nvidia GeForce 150MX,1549.0,FHD,Intel,Core i7,Pesado,1.8,Windows 10,16,Notebook,Inspiron 7773,2048.0
136,517,Dell,Intel HD Graphics 620,899.0,FHD,Intel,Core i5,Ligero,2.5,Windows 10,8,Ultrabook,XPS 13,512.0
420,198,Dell,Intel UHD Graphics 620,839.0,FHD,Intel,Core i7,Medio,1.8,Windows 10,8,Convertible,Inspiron 5379,2048.0
54,498,Toshiba,Intel HD Graphics 620,2799.0,FHD,Intel,Core i7,Ligero,2.7,Windows 10,32,Ultrabook,Portege X30-D-10L,2048.0
788,127,Acer,AMD Radeon R5,451.0,WXGA,AMD,A9-Series,Medio,3.0,Windows 10,4,Notebook,Aspire 3,1024.0
628,765,HP,Nvidia GeForce GTX 1050,1099.0,FHD,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,15-cb003na,2560.0
1215,274,Lenovo,Intel UHD Graphics 620,880.0,FHD,Intel,Core i7,Medio,1.8,Windows 10,8,Notebook,V330-15IKB,1024.0
396,1168,Lenovo,Intel HD Graphics 520,339.0,WXGA,Intel,Core i3,Medio,2.0,No OS,4,Notebook,V110-15ISK,2048.0
1083,1320,Asus,Intel HD Graphics,369.0,WXGA,Intel,Celeron Dual Core,Medio,1.6,Windows 10,4,Notebook,X553SA-XX031T,1000.0
20,858,HP,Intel HD Graphics 620,2277.0,FHD,Intel,Core i5,Ligero,2.5,Windows 10,8,Convertible,EliteBook x360,1024.0
1263,94,HP,Intel UHD Graphics 620,1197.0,FHD,Intel,Core i7,Ligero,1.8,Windows 10,16,Notebook,Probook 430,2048.0
258,908,Dell,Nvidia GeForce GTX 1050Ti,929.0,FHD,Intel,Core i7,Pesado,2.8,Linux,8,Gaming,Inspiron 7567,2048.0
159,950,Dell,Intel HD Graphics 520,558.6,WXGA,Intel,Core i3,Medio,2.0,Windows 10,4,Notebook,Vostro 3568,2048.0
572,959,Lenovo,AMD Radeon R9 M385,999.0,FHD,AMD,FX 8800,Medio,2.1,Windows 10,16,Gaming,IdeaPad Y700-15ACZ,4096.0
374,538,Toshiba,Intel HD Graphics 620,860.0,FHD,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,Satellite Pro,1000.0
25,1142,HP,Intel HD Graphics 520,1895.0,WXGA,Intel,Core i5,Ligero,2.4,Windows 7,8,Ultrabook,EliteBook 820,1024.0
345,796,Lenovo,Nvidia GeForce GTX 1050,999.0,FHD,Intel,Core i7,Medio,2.8,Windows 10,4,Gaming,Legion Y520-15IKBN,2048.0
827,813,Dell,Intel HD Graphics 505,744.0,WXGA,Intel,Pentium Quad Core,Medio,1.1,Windows 10,4,Netbook,Latitude 3180,512.0
661,525,HP,Nvidia GeForce 930MX,889.0,FHD,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,Probook 450,1024.0
102,603,Lenovo,Intel HD Graphics 620,2025.0,FHD,Intel,Core i7,Ligero,2.7,Windows 10,8,Convertible,ThinkPad Yoga,2048.0
185,596,Asus,Nvidia GeForce GTX 1060,1770.0,FHD,Intel,Core i5,Pesado,2.5,Windows 10,8,Gaming,ROG Strix,2560.0
69,233,Asus,Nvidia GeForce GTX 950M,891.0,FHD,Intel,Core i5,Pesado,2.5,Windows 10,8,Notebook,K756UX-T4340T,2024.0
327,169,MSI,Nvidia GeForce GTX 1060,1799.0,FHD,Intel,Core i7,Medio,2.8,Windows 10,16,Gaming,GE63VR 7RE,3072.0
439,899,Acer,Intel HD Graphics 400,297.0,WXGA,Intel,Celeron Dual Core,Ligero,1.6,Chrome OS,4,Netbook,Chromebook C731-C78G,32.0
662,263,MSI,Nvidia GeForce GTX 1070,2499.0,FHD,Intel,Core i7,Pesado,2.8,Windows 10,16,Gaming,GT73EVR 7RE,4096.0
799,242,Asus,AMD Radeon R5 M430,575.0,FHD,AMD,A10-Series,Medio,2.5,Windows 10,4,Notebook,X555QG-DM242T,2560.0
555,267,HP,Intel HD Graphics 620,722.0,FHD,Intel,Core i5,Medio,1.6,Windows 10,4,Notebook,ProBook 450,1000.0
40,781,Toshiba,Intel HD Graphics 520,1020.0,WXGA,Intel,Core i5,Medio,2.3,Windows 10,4,Notebook,Tecra A40-C-1E5,512.0
1110,1289,Lenovo,Intel HD Graphics 520,1499.0,IPS,Intel,Core i7,Ligero,2.5,Windows 10,16,Convertible,Yoga 900-13ISK,2048.0
998,375,HP,Intel HD Graphics 620,1750.0,FHD,Intel,Core i7,Ligero,2.7,Windows 10,8,Ultrabook,Elitebook 1040,1024.0
500,1121,MSI,Nvidia GeForce GTX 960M,1511.19,FHD,Intel,Core i7,Pesado,2.6,Windows 10,8,Gaming,GE72 Apache,2560.0
734,644,Dell,Intel UHD Graphics 620,1869.0,IPS,Intel,Core i5,Ligero,1.6,Windows 10,8,Ultrabook,XPS 13,1024.0
974,484,Lenovo,Intel HD Graphics 620,1364.0,FHD,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,Thinkpad T470,720.0
117,896,HP,Intel HD Graphics 620,1799.0,FHD,Intel,Core i5,Ligero,2.5,Windows 10,4,Convertible,EliteBook x360,1024.0
392,1030,HP,Intel HD Graphics 620,769.99,WXGA,Intel,Core i3,Medio,2.4,Windows 10,4,Notebook,ProBook 450,1024.0
1060,520,Dell,AMD Radeon 530,1219.24,FHD,Intel,Core i7,Medio,1.8,Windows 10,16,Notebook,Inspiron 5570,5120.0
613,810,Asus,Intel HD Graphics 620,1099.0,FHD,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,Pro P2540UA-XS51,1024.0
711,119,HP,Intel UHD Graphics 620,1084.0,FHD,Intel,Core i7,Medio,1.8,Windows 10,8,Notebook,Probook 440,2048.0
1245,1016,Dell,Intel HD Graphics 620,547.0,WXGA,Intel,Core i3,Medio,2.4,Windows 10,4,Notebook,Vostro 3568,512.0
639,412,Asus,Intel HD Graphics 620,1873.0,FHD,Intel,Core i7,Ligero,2.7,Windows 10,8,Ultrabook,Zenbook 3,2048.0
9,165,Acer,Nvidia GeForce MX150,805.0,FHD,Intel,Core i5,Pesado,1.6,Windows 10,4,Notebook,Aspire A517-51G,1024.0
1213,712,Lenovo,Intel HD Graphics 520,450.0,WXGA,Intel,Core i3,Medio,2.0,No OS,4,Notebook,V310-15ISK,1000.0
535,432,Dell,Nvidia GeForce GTX 1050 Ti,1159.0,FHD,Intel,Core i7,Pesado,2.8,Windows 10,8,Gaming,Inspiron 7577,2560.0
155,1206,Dell,Intel HD Graphics 520,1099.0,IPS,Intel,Core i5,Ligero,2.4,Linux,8,Ultrabook,XPS 13,1024.0
1074,561,HP,Nvidia GeForce 930MX,1280.0,FHD,Intel,Core i7,Pesado,2.7,Windows 10,8,Notebook,ProBook 470,2048.0
472,599,Dell,Intel HD Graphics 615,603.0,WXGA,Intel,Core M 7Y30,Ligero,1.0,Windows 10,4,Convertible,Inspiron 3179,512.0
47,601,Lenovo,Intel HD Graphics 520,529.0,FHD,Intel,Core i3,Pesado,2.0,No OS,4,Notebook,V320-17ISK,1000.0
5,132,HP,Intel UHD Graphics 620,928.0,FHD,Intel,Core i5,Medio,1.6,Windows 10,8,Notebook,ProBook 470,1024.0
466,1139,Asus,Intel HD Graphics 620,435.0,WXGA,Intel,Core i3,Medio,2.4,Windows 10,4,Notebook,VivoBook Max,2048.0
712,129,HP,Intel UHD Graphics 620,812.0,FHD,Intel,Core i5,Medio,1.6,Windows 10,8,Notebook,Probook 440,2048.0
212,838,Acer,Intel HD Graphics 620,619.0,FHD,Intel,Core i3,Medio,2.4,Windows 10,8,Notebook,Swift 3,512.0
1067,3,HP,Intel HD Graphics 620,575.0,FHD,Intel,Core i5,Medio,2.5,No OS,8,Notebook,250 G6,1024.0
785,371,HP,Intel HD Graphics 405,389.0,WXGA,Intel,Pentium Quad Core,Medio,1.6,Windows 10,8,Notebook,15-AY023na,4096.0
332,806,Dell,Intel HD Graphics 620,810.0,WXGA,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,Latitude 3580,512.0
1199,625,MSI,Nvidia GeForce GTX 1070,2267.86,FHD,Intel,Core i7,Pesado,2.8,Windows 10,16,Gaming,GT62VR 7RE,3072.0
412,298,Dell,Nvidia GeForce GTX 1050,1829.0,FHD,Intel,Core i7,Medio,2.8,Windows 10,8,Notebook,XPS 15,1024.0
200,424,HP,Intel HD Graphics 520,1500.0,FHD,Intel,Core i7,Ligero,2.5,Windows 10,8,Ultrabook,EliteBook 1040,1024.0
509,337,Toshiba,Intel HD Graphics 620,943.0,FHD,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,Satellite Pro,1024.0
411,1247,MSI,Nvidia GeForce GTX 1050,1149.0,FHD,Intel,Core i7,Medio,2.8,Windows 10,8,Gaming,GL62M 7RDX,2560.0
627,878,Lenovo,Intel HD Graphics 620,1950.0,FHD,Intel,Core i7,Ligero,2.7,Windows 10,8,Convertible,ThinkPad Yoga,1024.0
1088,347,Lenovo,AMD Radeon 530,899.0,FHD,AMD,A12-Series,Medio,3.6,Windows 10,12,Notebook,IdeaPad 320-15ABR,4096.0
881,939,Dell,Intel HD Graphics 520,729.9,WXGA,Intel,Core i5,Medio,2.3,Windows 10,4,Notebook,Latitude 3580,1000.0
914,984,Dell,Intel HD Graphics 615,1899.0,IPS,Intel,Core i7,Ligero,1.3,Windows 10,16,Convertible,XPS 13,2048.0
690,187,Toshiba,Intel HD Graphics 620,793.0,WXGA,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,Satellite Pro,512.0
111,478,HP,AMD FirePro W4190M ,1154.0,FHD,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,ZBook 15u,1000.0
26,989,HP,Nvidia GeForce 930MX,979.0,FHD,Intel,Core i5,Medio,2.7,Windows 10,8,Notebook,Probook 450,2560.0
375,559,Dell,Nvidia GeForce GTX 1070,2699.0,FHD,Intel,Core i7,Pesado,2.8,Windows 10,16,Gaming,Alienware 17,3072.0
289,1213,HP,Nvidia GeForce GTX 1050,1327.0,FHD,Intel,Core i7,Medio,2.8,Windows 10,12,Notebook,Pavilion Power,2560.0
1007,142,HP,Intel HD Graphics 620,699.0,FHD,Intel,Core i5,Ligero,2.5,Windows 10,4,Notebook,Envy 13-AD007nv,1024.0
476,1141,Lenovo,Intel HD Graphics 400,479.0,IPS,Intel,Atom x5,Ligero,1.44,Windows 10,4,Convertible,Yoga Book,64.0
475,64,Asus,Intel UHD Graphics 620,941.0,FHD,Intel,Core i5,Ligero,1.6,Windows 10,8,Notebook,UX410UA-GV350T,1024.0
125,410,Acer,Nvidia GeForce GTX 1050,879.0,FHD,Intel,Core i7,Medio,2.8,Linux,8,Notebook,Aspire 7,1024.0
1154,859,HP,Intel HD Graphics 520,1468.0,FHD,Intel,Core i7,Medio,2.5,Windows 10,8,Ultrabook,EliteBook 840,2048.0
1184,359,HP,Nvidia Quadro M1200,1738.27,FHD,Intel,Core i7,Pesado,2.8,Windows 10,8,Workstation,Zbook 15,1024.0
322,574,Fujitsu,Intel HD Graphics 620,739.0,WXGA,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,Lifebook A557,2048.0
280,885,Samsung,Nvidia GeForce 940MX,1849.0,FHD,Intel,Core i7,Ligero,2.7,Windows 10,16,Ultrabook,Notebook 9,1024.0
63,125,Lenovo,Nvidia GeForce 940MX,629.0,FHD,Intel,Core i5,Medio,2.5,No OS,8,Notebook,IdeaPad 320-15IKBN,1024.0
547,862,Asus,Nvidia GeForce GTX 1060,1899.0,FHD,Intel,Core i7,Medio,2.8,Windows 10,16,Gaming,Rog GL502VM-DS74,2560.0
1293,322,Lenovo,Intel HD Graphics 510,459.9,WXGA,Intel,Celeron Dual Core,Ligero,1.6,Chrome OS,4,Notebook,ThinkPad 13,16.0
536,241,Acer,Intel HD Graphics 520,390.0,WXGA,Intel,Core i3,Medio,2.0,Linux,4,Notebook,Aspire A315-51,2048.0
687,155,Lenovo,Intel HD Graphics 620,498.0,WXGA,Intel,Core i5,Medio,2.5,Windows 10,4,Notebook,V110-15IKB,512.0
1023,98,Dell,AMD Radeon R5 M430,599.9,FHD,Intel,Core i7,Medio,2.7,Linux,8,Notebook,Inspiron 3567,2048.0
210,1123,HP,AMD Radeon R4,398.0,FHD,AMD,A6-Series,Medio,2.5,Windows 10,4,Notebook,15-bw011nv,2048.0
657,588,Dell,Intel HD Graphics 620,1008.52,WXGA,Intel,Core i5,Medio,2.6,Windows 10,8,Notebook,Latitude 5580,1000.0
671,388,Asus,Nvidia GeForce GTX 1060,1655.0,FHD,Intel,Core i7,Medio,2.8,Windows 10,8,Gaming,ROG Strix,2560.0
194,1091,Lenovo,Nvidia GeForce GTX 950M,977.0,FHD,Intel,Core i5,Medio,2.3,Windows 10,4,Notebook,Ideapad 700-15ISK,2048.0
672,325,HP,Intel HD Graphics 620,1292.0,FHD,Intel,Core i7,Ligero,2.7,Windows 10,8,Notebook,Elitebook 840,1024.0
1152,956,Acer,Intel HD Graphics 620,619.0,WXGA,Intel,Core i5,Medio,2.5,Windows 10,4,Notebook,TravelMate P259-G2,1000.0
201,156,MSI,Nvidia GeForce GTX 1060,1890.0,FHD,Intel,Core i7,Pesado,2.8,Windows 10,16,Gaming,GE73VR 7RE,3072.0
792,76,Acer,Intel HD Graphics 520,389.0,WXGA,Intel,Core i3,Medio,2.0,Windows 10,8,Notebook,Aspire E5-475,2048.0
306,650,Lenovo,Intel HD Graphics 620,2450.0,FHD,Intel,Core i7,Ligero,2.7,Windows 10,16,Ultrabook,ThinkPad X1,2048.0
828,231,Dell,AMD Radeon R7 M445,859.01,FHD,Intel,Core i7,Medio,2.7,Windows 10,16,Notebook,Inspiron 5567,2048.0
1055,918,HP,Intel HD Graphics 620,1483.0,FHD,Intel,Core i7,Ligero,2.7,Windows 10,8,Netbook,Elitebook 820,2048.0
813,731,Dell,Nvidia GeForce GTX 1070,3659.4,4K,Intel,Core i7,Pesado,2.8,Windows 10,32,Gaming,Alienware 17,6144.0
1000,420,Acer,Intel HD Graphics 520,789.01,FHD,Intel,Core i7,Medio,2.5,Windows 10,8,Convertible,Aspire R7,1024.0
110,1000,HP,Intel HD Graphics 620,806.0,FHD,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,Probook 450,2048.0
399,453,Acer,Intel HD Graphics 620,441.8,WXGA,Intel,Core i5,Medio,2.5,Linux,4,Notebook,Aspire ES1-572,1000.0
636,1192,Lenovo,Nvidia GeForce 940MX,709.0,FHD,Intel,Core i7,Medio,2.7,No OS,8,Notebook,IdeaPad 510-15IKB,2048.0
1264,157,HP,Intel HD Graphics 620,1082.0,FHD,Intel,Core i5,Ligero,2.7,Windows 10,4,Ultrabook,EliteBook 840,1024.0
318,167,Lenovo,Nvidia GeForce GTX 1050 Ti,1079.0,FHD,Intel,Core i7,Medio,2.8,Windows 10,16,Gaming,Legion Y520-15IKBN,1024.0
172,1237,Acer,Intel HD Graphics 615,1149.0,FHD,Intel,Core i7,Ligero,1.3,Windows 10,8,Convertible,SP714-51,1024.0
293,289,Acer,Nvidia GeForce MX150,951.0,FHD,Intel,Core i7,Pesado,1.8,Windows 10,8,Notebook,Aspire A517-51G,1024.0
